sample_id,language,origin,text,source_id,avg_sentence_length,std_sentence_length,punctuation_density,avg_word_length,type_token_ratio,function_word_ratio
en_17,en,human,"Greek membership of eurozone not in doubt BRUSSELS - Greece #39;s membership of the eurozone is not in doubt despite a damaging review of its budget data stretching back five years, a European Commission official said Monday.",,37.0,0.0,0.08108108108108109,5.108108108108108,0.7837837837837838,0.24324324324324326
en_18,en,human,"Some fear it's a passport to identity theft It's December 2005 and you're all set for Christmas in Vienna. You have your most fashionable cold-weather gear, right down to the red maple leaves embroidered on your jacket and backpack, to conceal your American citizenship from hostile denizens of Europe.",,24.5,5.5,0.08163265306122448,5.183673469387755,0.8979591836734694,0.22448979591836735
en_19,en,human,"U.S. Plans Crackdown on Piracy, Counterfeiting  WASHINGTON (Reuters) - The United States is cracking down  on the growing trade in counterfeit and pirated goods that  costs U.S. businesses hundreds of billions of dollar annually,  U.S. government and industry officials said on Monday.",,6.428571428571429,8.48287590817344,0.21428571428571427,5.714285714285714,0.8571428571428571,0.2619047619047619
en_20,en,human,Cisco switch products target small business Company aggressively addresses smaller businesses with products that reduce the cost and complexity of operating a Cisco network.,,24.0,0.0,0.041666666666666664,6.25,0.9166666666666666,0.20833333333333334
en_21,en,human,"Icahn pushes harder to stop Mylan #39;s King acquisition PITTSBURGH Carl Icahn, the largest shareholder of Mylan Laboratories, is now threatening to push for new company directors to stop the generic drug maker #39;s four (B) billion-dollar takeover bid of King Pharmaceuticals.",,42.0,0.0,0.11904761904761904,5.642857142857143,0.8095238095238095,0.21428571428571427
en_22,en,human,"Quantum Snags LTO Rival Certance After preaching the superiority of its DLT tape format for years, Quantum has up and bought Certance, a key maker of the rival LTO format.",,30.0,0.0,0.1,4.733333333333333,0.8666666666666667,0.23333333333333334
en_23,en,human,Black to Sue Hollinger Committee for C\$1.1 Bln Fallen press baron Conrad Black will sue Hollinger International Inc. #39;s special committee and others for C\$1.1 billion (\$870 million) over a report that accused him of looting the company of millions of dollars.,,11.0,4.527692569068709,0.11904761904761904,5.333333333333333,0.8571428571428571,0.21428571428571427
en_24,en,human,Milosevic trial suspended The trial of Slobodan Milosevic has been suspended in Hague to allow the defense lawyers assigned to the former Yugoslav president more time to prepare their case.,,30.0,0.0,0.03333333333333333,5.333333333333333,0.8,0.26666666666666666
en_25,en,human,"Tremor shakes Athens, no damage ATHENS - An earthquake rattled Athens on Tuesday, including the Olympic venues in the Greek capital. The Athens Geodynamic Institute said that there was a tremor, but few other details were known, such as the magnitude or epicentre of the quake.",,23.0,2.0,0.13043478260869565,5.043478260869565,0.9130434782608695,0.2826086956521739
en_26,en,human,"Bush Web Site Bars Overseas Visitors (washingtonpost.com) washingtonpost.com - The Bush-Cheney reelection campaign has barred people outside the United States from viewing its Web site following an electronic attack that took down the campaign's Internet address for six hours last week, according\\to computer security experts.",,15.666666666666666,15.92342788332825,0.08888888888888889,6.311111111111111,0.9555555555555556,0.1111111111111111
en_27,en,human,Merger could affect Nextel Partners The proposed \$35 billion merger of Sprint Corp. and Nextel Communications could mean changes for Kirkland-based Nextel Partners Inc.,,12.0,1.0,0.08333333333333333,6.083333333333333,0.8333333333333334,0.16666666666666666
en_28,en,human,"TEXANS STAT CENTER After finally winning consecutive games, the Texans are a team in search of a challenge.  quot;I knew that was going to come up, quot; Texans coach Dom Capers said with a laugh.",,17.5,0.5,0.17142857142857143,4.6,0.9142857142857143,0.2857142857142857
en_29,en,human,About-face for Heels Rashad McCants wasn #39;t thinking about last year at Kentucky. Jawad Williams said last year was last year. And Sean May was thinking more about his last game than North Carolina #39;s Jan. 3 defeat at Rupp Arena.,,10.25,3.960744879438715,0.14634146341463414,4.7560975609756095,0.8048780487804879,0.0975609756097561
en_30,en,human,Web site pictures Photo iPod for holidays A Mac news site says iPods that display digital photos may be under Christmas trees this year.,,24.0,0.0,0.041666666666666664,4.708333333333333,0.9583333333333334,0.08333333333333333
en_31,en,human,"Shanahan says he intends to honour his deal with Broncos Trying to defuse rumours he might be leaving soon, Denver Broncos coach Mike Shanahan said Thursday night he intends to honour the final four years of his contract.",,38.0,0.0,0.05263157894736842,4.842105263157895,0.7631578947368421,0.15789473684210525
en_32,en,human,"Iran Says U.S. Lacks Options on Its Atomic Program (Reuters) Reuters - Washington has hit a dead-end over\Iran's nuclear dossier, lacking enough proof to demand U.N.\sanctions and too bogged down in Iraq for a military strike,\President Mohammad Khatami said Saturday.",,8.6,8.890444308357148,0.175,5.725,0.975,0.175
en_33,en,human,Expectations Low for Georgia Basketball (AP) AP - Georgia is likely to have a dismal season on the basketball court.,,20.0,0.0,0.05,4.85,0.95,0.3
en_34,en,human,"Company: Ameritrade Hldg Corp New With presidential election-related uncertainty safely in the past, retail investors have returned to the US stock market with gusto, and they #39;re likely to stay engaged, several trading companies said Friday.",,36.0,0.0,0.16666666666666666,5.833333333333333,0.9444444444444444,0.2222222222222222
en_35,en,human,"For Arafat, Oslo Remained Symbol of Hope (AP) AP - Norway's capital could not have been further removed from the chaos and bloodshed of the Middle East. Yet it was as a result of top-secret meetings here that two veteran warriors decided it was time to talk peace.",,24.0,3.0,0.0625,4.520833333333333,0.8958333333333334,0.22916666666666666
en_36,en,human,"A Daily Look at U.S. Iraq Military Deaths (AP) AP - As of Tuesday, Nov. 23, 2004, at least 1,229 members of the U.S. military have died since the beginning of the Iraq war in March 2003, according to an Associated Press count. At least 957 died as a result of hostile action, the Defense Department said. The figures include three military civilians.",,8.125,5.840323193111833,0.2222222222222222,4.571428571428571,0.8095238095238095,0.2222222222222222
en_37,en,human,Iraq ; Black Watch look to Christmas Soldiers declared  quot;mission accomplished quot; as the battle group convoy of more than 200 vehicles arrived at the relative safety of Shaibah Logistics Base.,,31.0,0.0,0.12903225806451613,5.387096774193548,0.9354838709677419,0.16129032258064516
en_38,en,human,Revlon #39;s loss widens in third quarter Revlon Inc. #39;s third-quarter loss widened amid a 7 percent drop in sales as the cosmetics giant completed an ambitious refinancing effort.,,14.5,5.5,0.13793103448275862,5.344827586206897,0.8620689655172413,0.1724137931034483
en_39,en,human,"Next to digital IDs, passwords look lame How big is your key ring? There are the house keys, of course, and the car keys and the little fob for unlocking the doors from 30 feet away. And now there's this new blue thingamajig for logging onto the America Online Internet service. You don't have to use it, but it's not a bad idea, if you want to ...",,16.75,3.766629793329841,0.16176470588235295,4.132352941176471,0.8823529411764706,0.2647058823529412
en_40,en,human,"Sharon death threats spark probe Israeli police examine death threats against Prime Minister Ariel Sharon, amid mounting opposition to his Gaza pullout plan.",,23.0,0.0,0.08695652173913043,5.869565217391305,0.9130434782608695,0.043478260869565216
en_41,en,human,"Red Hat exec takes Sun to task on open source A top Red Hat executive has attacked the open-source credentials of its sometime business partner Sun Microsystems. In a Web log posting Thursday, Michael Tiemann, Red Hat #39;s vice president of open-source affairs ",,21.5,5.5,0.09302325581395349,5.093023255813954,0.8372093023255814,0.18604651162790697
en_42,en,human,Fragile Arsenal need to shake off fallout from Old Trafford EIGHT days after the Game of the Decade gave way to the Battle of the Buffet before turning into a war of words between Arsenal and Manchester United ,,38.0,0.0,0.0,4.526315789473684,0.8157894736842105,0.2894736842105263
en_43,en,human,"Federer, Moya Dodge the Rain and Post Masters Cup Wins Ending after midnight due to rain delays, Roger Federer finally put his second round robin match in the books early Thursday morning at the ATP Tennis Masters Cup in Houston, defeating Lleyton Hewitt for the fifth consecutive time 6-3, 6-4.",,50.0,0.0,0.1,4.92,0.88,0.18
en_44,en,human,"Online bidding firms seek bounce from insurance industry scandal Customers in search of a cheap airfare, antiques or a stock trade can scan the Web for good deals. But when it comes time for companies to buy group insurance policies, they #39;ve largely ",,21.5,6.5,0.09302325581395349,4.906976744186046,0.9302325581395349,0.23255813953488372
en_45,en,human,Virus poses as Christmas e-mail A computer virus posing as an electronic Christmas card is spreading across the net in many languages.,,22.0,0.0,0.045454545454545456,5.136363636363637,0.9090909090909091,0.22727272727272727
en_46,en,human,Rumsfeld Sees U.S. Troops Leaving Iraq Within 4 Years The defense secretary also cautioned that any final decision hinged on the progress of Iraq's new government.,,9.0,9.93310961716756,0.11538461538461539,5.3076923076923075,1.0,0.15384615384615385
en_47,en,human,"Doubts Persist About Election Results (AP) AP - As the Electoral College prepares to certify President Bush's re-election on Monday, concerns persist about the integrity of the nation's voting system  #151; particularly in Ohio, where details continue to emerge of technology failures, voter confusion and overcrowded polling stations in minority and poor neighborhoods.",,53.0,0.0,0.09433962264150944,5.981132075471698,0.8867924528301887,0.22641509433962265
en_48,en,human,"US Envoy Positive About Security Council Talks On Sudan Nairobi, Nov. 18 (NNN) : Ambassadors from the United Nations Security Council are set to meet in the Kenyan capital for talks on Sudan at a two-day event in Nairobi which will focus on the peace process in ",,23.5,12.5,0.06382978723404255,4.574468085106383,0.8297872340425532,0.2765957446808511
en_49,en,human,"Valentine back in Japan for Autumn camp Lotte Marines manager Bobby Valentine is back in Japan to take part in his team #39;s Autumn training camp. Valentine, who had been mentioned as a possible candidate to replace Art Howe as manager ",,20.5,5.5,0.07317073170731707,4.780487804878049,0.7804878048780488,0.1951219512195122
en_50,en,human,"Canceled checks, float soon to disappear Every night, millions of cashed checks fly around the country, headed for their home bank. Starting in October, technology will start to ground many of those flights.",,16.5,4.5,0.18181818181818182,5.303030303030303,0.9393939393939394,0.21212121212121213
en_51,en,human,Panthers #39; defense leads to another win Carl Krauser scored all but two of his 17 points at the free throw line to lead No. 11 Pittsburgh to a 70-51 victory over Memphis on Tuesday night in the Jimmy V Classic.,,20.5,4.5,0.07317073170731707,4.219512195121951,0.926829268292683,0.24390243902439024
en_52,en,human,US plans new resolution on Darfur The US says it is preparing a new UN resolution to deal with the crisis in the troubled Darfur region of Sudan.,,28.0,0.0,0.03571428571428571,4.214285714285714,0.8214285714285714,0.35714285714285715
en_53,en,human,"Microsoft aims at NetWare users with migration campaign In the U.S., Microsoft will offer training vouchers, migration products and online tech support to NetWare users considering a switch.",,10.0,6.97614984548545,0.17857142857142858,5.821428571428571,0.8571428571428571,0.21428571428571427
en_54,en,human,"Chelsea lay down the law on drugs as Mutu is shown door CHELSEA enforced a zero tolerance policy against drugs yesterday when they dismissed Adrian Mutu, the Romania striker, for gross misconduct after his positive test for cocaine.",,38.0,0.0,0.07894736842105263,5.131578947368421,0.9210526315789473,0.18421052631578946
en_55,en,human,"Bama offense faces tough test Like most Alabama fans, injured quarterback Brodie Croyle will sweat out tonight #39;s LSU game at home. If, somehow, the Crimson Tide can knock off the 17th-ranked Tigers, Croyle ",,17.0,5.0,0.17647058823529413,5.176470588235294,0.9411764705882353,0.058823529411764705
en_56,en,human,"Amazon moves into China US internet giant Amazon.com is buying China's largest web retailer Joyo.com, in a deal worth \$75m (41m).",,7.666666666666667,0.4714045207910317,0.19047619047619047,5.238095238095238,1.0,0.14285714285714285
en_57,en,human,Weak industrial output weighs on British growth (AFP) AFP - Britain's industrial sector appears to have been a bigger drag on overall economic growth in the third quarter than was first assumed.,,32.0,0.0,0.03125,5.09375,0.90625,0.21875
en_58,en,human,MPAA Starts Suing Today the MPAA (Motion Picture Association of America) announced today that it had filed an unspecified amount of lawsuits against people who trade Movies using p2p (peer-to-peer) programs.,,31.0,0.0,0.03225806451612903,5.709677419354839,0.9354838709677419,0.12903225806451613
en_59,en,human,US Airways talks with pilots collapse Negotiations between US Airways Group Inc. and its pilots union over labor concessions collapsed Monday. The airline is seeking \$295 million in annual concessions from pilots.,,10.666666666666666,1.247219128924647,0.09375,5.71875,0.875,0.15625
en_60,en,human,Akamai boosts Web application services The company fills out its hosted application lineup with four products designed for e-commerce Web sites.,,21.0,0.0,0.047619047619047616,5.904761904761905,0.9047619047619048,0.14285714285714285
en_61,en,human,"Skygazers, baseball fans watch for lunar eclipse If skies are clear, people can expect to see the full moon turn a deep reddish colour as the Earth #39;s shadow falls over the face of the moon, astronomers say.",,38.0,0.0,0.13157894736842105,4.552631578947368,0.9210526315789473,0.23684210526315788
en_62,en,human,"American Deserters Find a Mixed Reception in Canada Despite Canada's opposition to the Iraq war, the government also is opposing the U.S. deserters' refugee applications, saying the soldiers are not persecuted. It is resisting the argument that the Iraq war is illegal.",,10.75,7.495832175282475,0.14285714285714285,5.428571428571429,0.8095238095238095,0.30952380952380953
en_63,en,human,"Bin Laden Still At Large 3 Years After US Attacks The US-led anti-terrorism coalition is still hunting terror mastermind Osama bin Laden, the chief suspect in the September 11, 2001 deadly attacks on US cities.",,35.0,0.0,0.08571428571428572,5.0285714285714285,0.9428571428571428,0.17142857142857143
en_64,en,human,"Moss officially out for Green Bay EDEN PRAIRIE, Minn. The Minnesota Vikings officially downgraded All-Pro receiver Randy Moss from doubtful to out for Sunday #39;s game at Green Bay.",,14.5,5.5,0.13793103448275862,5.310344827586207,0.8275862068965517,0.13793103448275862
en_65,en,human,"Hillary Rosen Loves Larry Lessig (and other improbable tales) In Wired, Hillary Rosen, the former head of the Recording Industry Ass. of America, writes of her love affair with... no way dude. Yep. Larry Lessig, her long time foe who started the Creative Commons.",,8.8,7.05407683541936,0.25,5.0,0.8409090909090909,0.1590909090909091
en_66,en,human,"New England #39;s win streak hits 19 In a part of the country that is steeped in history, New England #39;s NFL-record, 19-game winning streak might not be recognized with the same reverence as Paul Revere #39;s midnight ",,38.0,0.0,0.13157894736842105,4.815789473684211,0.8421052631578947,0.21052631578947367
en_67,en,human,"Orton does not start against Ohio State Purdue quarterback Kyle Orton did not start Saturday #39;s game against Ohio State, though he was listed as available to play. Orton has been bothered by a right hip injury for the last month.",,20.5,7.5,0.0975609756097561,4.682926829268292,0.8536585365853658,0.12195121951219512
en_68,en,human,"Mistakes hinder Knicks in loss It will be labeled a learning experience, but that won #39;t remove any of the sting. Momentum was lost again Wednesday night as the Knicks blew a lead and lost 94-93 to the Detroit Pistons at Madison Square Garden.",,22.0,1.0,0.09090909090909091,4.613636363636363,0.8863636363636364,0.25
en_69,en,human,Trucking Firm Takes a Tumble Trucking stocks offer extremely attractive long-term valuations. What about SCS Transportation?,,8.0,4.0,0.125,6.8125,0.9375,0.0625
en_70,en,human,Cranes rain down as peace gesture Millions of origami paper cranes yesterday rained down upon Thailand #39;s three violence-torn southern provinces in an extravagant government-sponsored gesture aimed at bringing peace to the predominantly Muslim region.,,35.0,0.0,0.05714285714285714,6.285714285714286,0.9142857142857143,0.14285714285714285
en_71,en,human,"Yahoo, Adobe team up on new Web services Yahoo Inc. and Adobe Systems Inc. have joined forces to tap each others #39; customers and put Web search features into Adobe #39;s popular Acrobat Reader software.",,11.666666666666666,7.039570693980959,0.17142857142857143,4.885714285714286,0.8571428571428571,0.11428571428571428
en_72,en,human,"US Airways again files for bankruptcy protection In another sign of the troubles facing the nation #39;s biggest airlines, US Airways filed Sunday for Chapter 11 bankruptcy protection for the second time since 2002.",,34.0,0.0,0.08823529411764706,5.352941176470588,0.7647058823529411,0.23529411764705882
en_73,en,human,"China  #39;blocks Google news site #39; China has been accused of blocking access to Google News by the media watchdog, Reporters Without Borders. The Paris-based pressure group said the English-language news site had been unavailable for the past 10 days.",,20.0,3.0,0.125,5.4,0.825,0.175
en_74,en,human,Sprint Near Deal to Buy Nextel -Sources (Reuters) Reuters - Sprint Corp. is close to\an agreement to buy Nextel Communications Inc. for about  #36;35\billion in a mostly stock deal that would combine the No. 3 and,,9.0,4.301162633521313,0.1111111111111111,4.916666666666667,0.9166666666666666,0.2222222222222222
en_75,en,human,Orton Engineers Purdue Victory Over Illinois The Illinois rushing offense and the Purdue passing offense dueled in the Big Ten opener for both schools on Saturday at Memorial Stadium in Champaign.,,31.0,0.0,0.03225806451612903,5.354838709677419,0.8387096774193549,0.25806451612903225
en_76,en,human,"Early wake-up call for LSU Can a season be lost before Labor Day? Generally, the answer is no. Even the worst losses can be worked around when they occur on the first weekend of September. There's more than enough time for a team to move past any disappointment in losing a game most expected it to win.",,14.25,6.219927652312364,0.08771929824561403,4.333333333333333,0.8771929824561403,0.24561403508771928
en_77,en,human,800M PLEDGED FOR VIRGIN BOSS #39;S SPACE TRIPS MORE than 800million has been pledged to Sir Richard Branson #39;s space travel adventure - - years before the ship has even been built.,,32.0,0.0,0.09375,4.75,0.90625,0.09375
en_78,en,human,"One last mile to go before they sweep Pedro Martinez dazzles for seven as Boston takes a seemingly safe three games to none lead. By MARC TOPKIN, Times Staff Writer. ST.",,10.333333333333334,9.877021593352703,0.12903225806451613,4.483870967741935,0.967741935483871,0.12903225806451613
en_79,en,human,Politics: Both sides eye climbing world oil prices nervously The news that the National party is to hold back on key policy announcements until closer to the election has had a mixed reception.,,33.0,0.0,0.06060606060606061,4.878787878787879,0.9393939393939394,0.24242424242424243
en_80,en,human,"Surprise victory for Basescu in Romania Traian Basescu, a sea captain turned politician, won a surprise victory in Romania #39;s presidential run-off election held on Sunday, according to final results announced yesterday.",,32.0,0.0,0.15625,5.96875,0.875,0.21875
en_81,en,human,Bush Record: New Priorities in Environment The Bush administration's approach to environmental issues has challenged the status quo by revising the traditional public-policy calculus on decisions.,,26.0,0.0,0.07692307692307693,6.576923076923077,0.9230769230769231,0.23076923076923078
en_82,en,human,"Tests Show No Mad Cow, Cattle Prices Rise  WASHINGTON/CHICAGO (Reuters) - An animal suspected of  having mad cow disease was given a clean bill of health in a  second round of sophisticated testing, the U.S. Agriculture  Department said on Tuesday after cattle prices soared in  expectation of the news.",,16.666666666666668,14.007934259633796,0.10204081632653061,5.1020408163265305,0.8775510204081632,0.2653061224489796
en_83,en,human,"Bush Offers Sympathy at Russian Embassy (AP) AP - President Bush made an unexpected visit to the Russian Embassy on Sunday where he signed a book of condolences for victims of the school hostage seizure and expressed outrage at the actions of ""evil terrorists.""",,22.5,21.5,0.022727272727272728,4.954545454545454,0.8181818181818182,0.2727272727272727
en_84,en,human,"Padres Paste Slumping Mets 4-0 (AP) AP - Brian Lawrence escaped a bases-loaded jam in the first inning and allowed just four hits the rest of the way Wednesday night, pitching the San Diego Padres to a 4-0 victory over the slumping New York Mets.",,45.0,0.0,0.044444444444444446,4.488888888888889,0.8444444444444444,0.24444444444444444
en_85,en,human,"Quiz Eisner in shareholder suit Disney big cheese Michael Eisner took the witness stand for the first time yesterday in an ongoing shareholder lawsuit, defending his choice of ex-super talent agent Michael Ovitz as Disney #39;s No.",,37.0,0.0,0.08108108108108109,5.27027027027027,0.8378378378378378,0.1891891891891892
en_86,en,human,"Oil firms in talks to end Nigerian jobs protest Multinational companies began talks Monday with Nigerian villagers occupying three oil platforms in a dispute over jobs which shut 90,000 barrels per day of oil production.",,35.0,0.0,0.05714285714285714,5.314285714285714,0.8571428571428571,0.17142857142857143
en_87,en,human,"1,600 internet cafes closed in China The Chinese local governments have closed 1600 Internet cafes and fined operators a total of 100m yuan (\$12m) between February and August this year.",,30.0,0.0,0.06666666666666667,5.233333333333333,0.9,0.2
en_88,en,human,"Pitt Locks Up BCS Bid Tyler Palko tosses a career-high 411 yards and five touchdowns to push No. 19 Pittsburgh over South Florida, 43-14, on Satudray.",,13.0,5.0,0.15384615384615385,4.8076923076923075,1.0,0.15384615384615385
en_89,en,human,Over 80 hurt on first day of Bangladesh strike (Reuters) Reuters - Opposition activists in Bangladesh attacked railway stations and battled police across the country on Tuesday on the first day of a two-day strike called to protest against a deadly grenade attack at the weekend.,,46.0,0.0,0.021739130434782608,5.086956521739131,0.782608695652174,0.2826086956521739
en_90,en,human,"Open-Roddick can #39;t wait for  #39;electric #39; atmosphere Andy Roddick hopes to use home advantage to the maximum as he begins the defence of his US Open crown next week. Roddick, who opens this year against American ",,18.5,11.5,0.13513513513513514,4.945945945945946,0.9459459459459459,0.16216216216216217
en_91,en,human,Cheney Echoes Bush's Criticism of Kerry (AP) AP - Vice President Dick Cheney on Wednesday echoed President Bush's latest sharp challenge of Sen. John Kerry's fitness to serve as commander in chief as the Republican No. 2 basked in approval from GOP supporters cheered by his debate performance.,,16.0,4.96655480858378,0.0625,5.145833333333333,0.875,0.14583333333333334
en_92,en,human,"FTC wants spammer bounties Congress has asked the US Federal Trade Commission (FTC) to look into spam reduction measures, including a  quot;Do Not Spam quot; list idea passed with the CAN-SPAM Act.",,32.0,0.0,0.125,5.15625,0.96875,0.15625
en_93,en,human,Feds go after  #39;Spam King #39; Federal attorneys are trying to shut down an allegedly illicit Internet business operated out of a dance club in Rochester that is deluging computers with unwanted pop-up ads by hijacking their browsers.,,38.0,0.0,0.07894736842105263,5.2368421052631575,1.0,0.21052631578947367
en_94,en,human,Microsoft braces for EU anti-trust appeal US software giant Microsoft said it will abide by whatever ruling is handed down by a European appeal court hearing due to start this week against an EU condemnation for abusing its market dominance.,,40.0,0.0,0.025,5.05,0.875,0.15
en_95,en,human,Frances Postpones Third Cubs-Marlins Game (AP) AP - The Florida Marlins postponed Sunday's game against the Chicago Cubs as Hurricane Frances crept ashore on the eastern coast of Florida.,,29.0,0.0,0.034482758620689655,5.482758620689655,0.9310344827586207,0.1724137931034483
en_96,en,human,"Chain Store Sales Mixed in Oct 16 Week  NEW YORK (Reuters) - U.S. chain store sales rose in the  second week of October compared with last year, as seasonal  shopping drove sales during the second week of the month, a  report said on Tuesday.",,15.0,12.328828005937952,0.11363636363636363,4.431818181818182,0.8409090909090909,0.22727272727272727
en_97,en,human,MOTOR RACING: IT #39;S TWO IN A ROW FOR DARIO DARIO FRANCHITTI scored a scorching second Indy Racing League race of 2004 on a triumphant return to Pikes Peak. The Scot finished fourth at the Colorado track last year but this time he led the race four ,,23.5,5.5,0.06382978723404255,4.340425531914893,0.9148936170212766,0.2553191489361702
en_98,en,human,"U.S. Stocks, Dollar and Bonds Fall  NEW YORK (Reuters) - U.S. stocks and bonds fell on Tuesday  as the dollar hit a record low against the euro.",,5.8,6.1773780845922,0.2222222222222222,4.296296296296297,0.8888888888888888,0.2222222222222222
en_99,en,human,"Busch's ambience set it apart from others ST. LOUIS -- Even a cookie-cutter stadium -- which is the pejorative term that came to describe the multipurpose bowls that seemed to spring up simultaneously in Pittsburgh, Cincinnati, Atlanta, Queens, Philadelphia, and St. Louis in the late 1960s and early '70s -- can have their quirks.",,18.0,10.801234497346433,0.14814814814814814,5.148148148148148,0.8518518518518519,0.2037037037037037
en_100,en,human,Stocks creep higher in New York NEW YORKUS blue-chip stocks ended barely higher yesterday as a spike in oil prices to record closing levels pared earlier gains and renewed concerns about the effect of high energy prices on consumer spending and corporate profits.,,43.0,0.0,0.023255813953488372,5.1395348837209305,0.9069767441860465,0.20930232558139536
en_101,en,human,"Nigeria bars Halliburton contracts Nigeria said on Monday it had banned the awarding of government contracts to Halliburton, the world #39;s second-largest oil services firm, following the theft of two radioactive devices from its Nigerian subsidiary.",,36.0,0.0,0.1111111111111111,6.0,0.8611111111111112,0.19444444444444445
en_102,en,human,"J amp;J takes heart from 13bn deal Johnson  amp; Johnson announced a \$25.4bn (13.1bn) deal yesterday to buy Guidant Corporation, giving the healthcare company a stake in the fast-growing market for devices that regulate heartbeats.",,12.333333333333334,8.178562764256865,0.17142857142857143,5.628571428571429,0.8857142857142857,0.2
en_103,en,human,"Calpers to begin search for new President NEW YORK, December 3 (newratings.com) - The Board members of the Californian state pension fund, Calpers (California Public Employees Retirement System), are scheduled to begin the process of selecting a new President today, after Sean Harrigan was ",,22.5,10.5,0.11363636363636363,5.613636363636363,0.8409090909090909,0.25
en_104,en,human,"Broncos Griffin reportedly out for season The Denver Broncos have lost tailback-turned-kickoff returner Quentin Griffin for the season, ESPN reported Tuesday, citing no sources.",,24.0,0.0,0.125,6.416666666666667,0.875,0.16666666666666666
