text,language,origin
"**Washington drafts fresh UN measure for Darfur**

The United States has announced it is working on a new United Nations resolution aimed at addressing the ongoing crisis in Sudan's conflict-ridden Darfur region.",en,gemini
"**Microsoft Launches U.S. Migration Drive to Target NetWare Users**

To entice companies away from NetWare, Microsoft is rolling out a dedicated U.S. campaign that includes specialized migration software, online technical support, and training vouchers for organizations weighing a platform switch.",en,gemini
"**Chelsea adopt zero-tolerance drug stance as Mutu is sacked**

CHELSEA enforced a strict no-drugs policy yesterday by dismissing Romania striker Adrian Mutu for gross misconduct following his positive test for cocaine.",en,gemini
"Injured Crimson Tide quarterback Brodie Croyle, much like the rest of the Alabama faithful, will be watching tonight's crucial matchup against No. 17 LSU from home. If an underdog Alabama squad manages to pull off the upset, Croyle...",en,gemini
"**Amazon Expands into China**

US e-commerce giant Amazon.com is marking its entry into the Chinese market by acquiring Joyo.com, the country's biggest online retailer, in a transaction valued at $75 million (£41 million).",en,gemini
"**UK Industrial Slump Drags Down Growth (London)** — Fresh data suggests that Britain's manufacturing and production sectors had a more severe negative impact on the nation's third-quarter economic expansion than initial estimates indicated, according to AFP.",en,gemini
"**MPAA Launches Wave of P2P Lawsuits**

The Motion Picture Association of America announced today that it has initiated legal action against individuals who trade unauthorized movies using peer-to-peer file-sharing networks, though the exact number of lawsuits remains unspecified.",en,gemini
Labor talks between US Airways Group Inc. and its pilots union broke down Monday after the airline failed to secure $295 million in annual wage and benefit concessions it is seeking to cut costs.,en,gemini
"Mit einer Grundsatzrede im Londoner Institut Chatham House hat der britische Premierminister David Cameron die heiße Phase der Verhandlungen über den EU-Verbleib seines Landes eröffnet. Er stellte dabei vier zentrale Reformforderungen vor, die von Ausnahmeregelungen für die Euro-Zone über den Schutz nationaler Parlamente bis hin zu Leistungskürzungen für EU-Zuwanderer reichen. Cameron betonte zwar, er wolle Großbritannien in der Gemeinschaft halten, schloss einen Austritt für den Fall ausbleibender Reformen jedoch nicht aus. Die nun offiziell an EU-Ratspräsident Donald Tusk übermittelten Forderungen bilden die Basis für die Beratungen bis zum EU-Gipfel im Dezember. Sollte es im Januar eine Einigung geben, halten Beobachter ein Referendum bereits im kommenden Juni für möglich.

Inhaltlich fordert London unter anderem eine vertragliche Garantie, dass Großbritannien nicht zu einer immer engeren Union gezwungen wird, sowie den offiziellen Abschied vom Ziel einer gemeinsamen Einheitswährung. Zudem sollen EU-Bürger in den ersten vier Jahren ihres Aufenthalts auf der Insel von bestimmten Sozialleistungen ausgeschlossen werden. 

Zu Hause steht Cameron nun vor schweren Konflikten. Während EU-Gegner wie Nigel Farage von einer „Charade“ sprachen und Tory-Hardliner die Reformvorschläge als unzureichend kritisierten, droht dem Premier erheblicher Widerstand aus den eigenen Reihen. Auch aus Brüssel kam umgehend Gegenwind: Die EU-Kommission lehnte vor allem die von London geforderte Einschränkung der Freizügigkeit als problematisch ab. Bundeskanzlerin Angela Merkel zeigte sich dagegen zuversichtlich, dass sich für die anstehenden Verhandlungen tragfähige Kompromisse finden lassen.",de,gemini
"Hier ist eine neu formulierte Version im professionellen Nachrichtenstil, die das Thema und die Länge des Originals beibehält:

**Wien** – Europas größter VW-Händler, die Porsche Holding Salzburg, blickt trotz der anhaltenden Abgasaffäre auf ein erfolgreiches Geschäftsjahr zurück. „Für uns war das ein sehr gutes Jahr“, betonte Holding-Sprecher Alain Favey in Wien. Während sich das Geschäft in Österreich auf hohem Niveau stabil zeigte und in Zentral- sowie Südosteuropa erfreulich entwickelte, werde der Rekordwert aus dem Jahr 2011 allerdings verfehlt. Dennoch bleibt der Marktanteil in Österreich bei rund 35 Prozent, gestützt auf insgesamt 300.000 abgesetzte Fahrzeuge. 

Konkrete Finanzzahlen nannte Favey zwar nicht, verwies jedoch auf glänzende Aussichten für die Händler – vor allem für die Porsche-Sparte, die ein Absatzplus von voraussichtlich 22 Prozent auf 1.235 Neuzulassungen verzeichnet. „Es gibt keinen Grund zur Besorgnis, wir haben vier Marken unter den Top 10“, so Favey. Demgegenüber steht ein spürbarer Dämpfer auf europäischer Ebene: Laut ACEA-Zahlen sank der Marktanteil des VW-Konzerns im November im Jahresvergleich um 2,3 Prozentpunkte auf 24,3 Prozent.

Die Bewältigung des Abgasskandals fordert die Porsche Holding indes stark. Rund 7.000 Mitarbeiter sind in die Abwicklung eingebunden, finanzielle Belastungen entstehen dem Unternehmen laut Favey jedoch nicht, da die Volkswagen AG sämtliche Kosten übernimmt. 

Inzwischen wurden die ersten Anschreiben an die österreichweit 388.000 betroffenen Fahrzeughalter verschickt. Die Werkstatttermine für Modelle mit 2,0-Liter-TDI-Motoren starten demnach in der letzten Jännerwoche, gefolgt von den 1,2-Liter-TDI-Aggregaten im August. Für diese Fahrzeuge ist ein reines Software-Update geplant. Im September folgt schließlich die Rückrufaktion für die 1,6-Liter-TDI-Modelle, bei der zusätzlich ein etwa einstündiger Hardware-Eingriff nötig ist. Für Mobilitätsersatz während der Werkstattbesuche werde gesorgt. Auch für die Vertragshändler halte sich der Mehraufwand mit rund vier Prozent des regulären Arbeitsvolumens in Grenzen.

Mit Blick auf das kommende Jahr gibt sich das Management optimistisch. Günstige Zinsen und niedrige Ölpreise dürften den Automarkt im Jahr 2016 zusätzlich ankurbeln. Zudem forciert VW die Elektromobilität: Der neue e-Golf soll im kommenden Jahr auf den Markt kommen und – unter Berücksichtigung sämtlicher Förderungen – exakt so viel kosten wie ein vergleichbares Dieselmodell.",de,gemini
"Hier ist eine Zusammenfassung im typischen Nachrichtenstil, die den Inhalt des Interviews in ähnlicher Länge und eigenen Worten wiedergibt:

**Nepal kämpft auch ein Jahr nach dem verheerenden Erdbeben mit einem extrem schleppenden Wiederaufbau.** Der Politikwissenschaftler Lok Raj Baral kritisiert im Gespräch vor allem das politische Führungspersonal scharf. Die Parteien seien zu sehr mit Machterhalt, internen Machtkämpfen und Eigeninteressen beschäftigt, während in dem südasiatischen Land bürokratisches Chaos herrsche. Selbst bei der Ernennung eines Koordinators für den Wiederaufbau sei man sich uneinig geblieben.

Auch die neue Verfassung sorgt für anhaltenden politischen Frust. Vor allem die Minderheit der Madhesi im Süden des Landes protestiert gegen die Grenzziehung der neuen Provinzen sowie gegen Regelungen beim Erwerb der Staatsbürgerschaft. Laut Baral könnten die etablierten Parteien diese Konflikte jedoch rasch lösen, wenn der politische Wille vorhanden wäre.

Mit Blick auf das erst seit wenigen Jahren abgeschaffte Königtum stellt der Experte fest, dass die anhaltende Ineffizienz der Regierung bei manchen Bürgern nostalgische Gefühle weckt. Dennoch habe es beim Sturz der Monarchie kaum Proteste gegeben. Vielmehr wünschten sich viele Nepalesen angesichts der gesellschaftlichen Vielfalt einen stärker hinduistisch geprägten Staat, da der Säkularismus in den Augen vieler gescheitert sei – ein Frust, der ebenfalls auf das Versagen der aktuellen Politiker zurückgehe.

Während das jahrhundertealte Kastensystem durch zunehmende Bildung vor allem in den Bergregionen an Bedeutung verliert, hält es sich im Süden bei den Madhesis hartnäckiger. Diese Region ist zudem Schauplatz geopolitischer Spannungen: Baral verweist auf die anhaltend starke Einmischung Indiens in Nepals Innenpolitik, die ihre Wurzeln in Sicherheitsbedenken seit den 1950er-Jahren hat. Delhi sehe den Einfluss des Nachbarn China kritisch und unterhalte enge Verbindungen zur Minderheit der Madhesi. Für Nepal sei es daher überlebenswichtig, einen ausgewogenen Kurs zwischen den beiden Großen Mächten Indien und China zu halten.",de,gemini
"Hier ist eine umgeschriebene Fassung im gleichen Stil und ähnlicher Länge:

Dem UNHCR wird oft vorgeworfen, in der europäischen Flüchtlingskrise zu langsam reagiert zu haben – obwohl humanitäre Einsätze in der EU garไม่ zu seinem ursprünglichen Mandat gehören. Stellvertretend dafür steht der 27-jährige Salzburger Josef Hofer. Als er im Herbst 2015 von den dramatischen Zuständen an der ungarisch-serbischen Grenze in Röszke erfuhr, reiste er spontan als freiwilliger Helfer an. Weil große Hilfsorganisationen wie das Rote Kreuz oder eben das UN-Flüchtlingshochkommissariat zunächst fehlten, organisierten sich die Freiwilligen selbst. Als Hofer eine UNHCR-Mitarbeiterin um ein Koordinierungstreffen bat, nahm sie zwar seine Nummer, rief jedoch nie zurück. 

Solche Vorwürfe reihen sich in eine Serie von Beschwerden ein, die auch griechische Inseln wie Lesbos betreffen, wo das UNHCR zwar beobachtete, aber lange kaum konkrete Hilfe leistete. Die dortige UNHCR-Vertreterin Aikaterini Kitidi brachte das Dilemma auf den Punkt: Eigentlich sollte die Organisation in der EU gar nicht operativ gebraucht werden. Doch Europa schaffte es nicht allein. Wie Christoph Pinter, Leiter des Wiener UNHCR-Büros, erklärt, war die UN-Behörde in Europa bisher vor allem rechtlich beratend tätig und leistete Hilfe primär in Asien und Afrika. Wegen der akuten Not wurde das griechische Büro binnen Kurzem von einigen wenigen auf über 100 Mitarbeiter aufgestockt, um operativ einzugreifen. 

Experten wie Demetrios Papademetriou vom Migration Policy Institute betonen jedoch, dass das UNHCR in einem ständigen, schwer kalkulierbaren Krisenmodus gefangen ist. Um flexibler zu agieren, wurden die betroffenen Länder von der Türkei bis Deutschland aus den normalen Hierarchien herausgelöst und unterstehen nun direkt einem neuen europäischen Flüchtlingskoordinator. 

Größtes Hindernis bleibt indes die chronische Unterfinanzierung. Nur zwei Prozent des Budgets kommen direkt von der UNO, der Rest muss über Spenden eingeworben werden. Österreich lag 2015 mit 3,7 Millionen Euro auf Rang 39 der Geberliste – hier sieht Pinter durchaus Luft nach oben. Generell kam weltweit meist nicht einmal die Hälfte der benötigten Gelder zusammen, weshalb wichtige Projekte abseits der reinen Lebenserhaltung oft gestrichen werden müssen. Zudem wächst die Sorge, dass vergessene Krisen im Kongo oder Südsudan aus dem Blick geraten, während Geberländer primär auf die eigene Betroffenheit reagieren. Papademetriou appelliert daher an die internationale Gemeinschaft, deutlich mehr finanzielle Mittel bereitzustellen, damit sich Menschen in den Nachbarländern Syriens eine Zukunft aufbauen können und gar nicht erst nach Europa flüchten müssen. Die Kritik am UNHCR hält er für ungerecht: Angesichts der Dimension könne ohnehin niemand genug tun.",de,gemini
"Hier ist eine sprachlich überarbeitete, natürlichere Version im typischen Stil einer Kultur- oder Kabarettkritik, die Länge und Thema beibehält:

**Christian Hölbling wagt mit seinem aktuellen Programm „Ich kann auch anderst“ einen kreativen Neuanfang. Wien – „I bin a Ölien, bin a echter Ölien, bin a Steirer in Völkermarkt“: Komik funktioniert oft nach einem bewährten Prinzip – jemand verhält sich in einer Situation völlig deplatziert, der Habitus passt schlicht nicht zum Umfeld. Genau diesen Effekt setzt Christian Hölbling gezielt ein. In seinem neuen Soloprogramm widmet er sich mit scharfem Blick sozialen und geografischen Reibungspunkten und greift dabei tief in den eigenen Erfahrungsschatz. Stings Welthit „Englishman in New York“ interpretiert er kurzerhand um: Er fühlt sich eher als „Ölien“, als gebürtiger Steirer, den es nach Kärnten verschlagen hat. Ob er tatsächlich, wie er dem Publikum im Café Niedermair scherzhaft gesteht, vom gefürchteten „Kärntnervirus“ bedroht ist, lässt er offen. Die humorvolle Schilderung dieser schleichenden Assimilation – inklusive einsetzenden Sprachverfalls, bei dem bald nur noch Einheimische seine Beispielsätze verstehen – wirkt erstaunlich lebendig. Hölbling mixt geschickt eigene Biografie mit Fiktion, erzählt packend von den Strapazen des Tourneealltags oder serviert Anekdoten, wie jene über ein Treffen mit Ex-Nestlé-Chef Peter Brabeck-Letmathe. Demnach soll Hölbling dem Manager den entscheidenden Tipp für Nespresso gegeben haben: Kaffee müsse man wie Pralinen vermarkten und von Hollywood-Stars anpreisen lassen, nur so ließe sich ein Kilo-Preis von 80 Euro rechtfertigen. Man nimmt ihm diese moderne „Forrest Gump“-Story dank seiner darstellerischen Klasse sofort ab. Mit minimaler Gestik und präziser Wortwahl schlüpft er mühelos in verschiedene Rollen – etwa in die des cholerischen Kapfenberger Bandleaders Mike, der eine tiefe Abneigung gegen VIP-Zonen hegt. Wenn die Band ausgerechnet dort bei einer Wellness-Resort-Eröffnung spielen muss, gipfelt das in urkomischen Tiraden. Auch Hölblings privater Lifestyle mit Smart Home und Designer-Anzügen bietet reichlich Zündstoff für herrlich absurde Dialoge. So verbindet „Ich kann auch anderst“ bissige Gesellschaftskritik mit einem flüssigen Erzählstrang, in den auch die musikalischen Einlagen – lässige Swing-Nummern mit dialektalem Einschlag – perfekt passen. Nach 15 Jahren als Bühnenfigur Herfried wollte sich Hölbling neu erfinden. Und das ist ihm mehr als gelungen. (Florian Kutej, 18.09.2015)**",de,gemini
"Hier ist eine überarbeitete Version im natürlichen, sachlichen Nachrichtenstil, die in Länge und Thema dem Original entspricht:

***

**Die Allianz wagt den Schritt in den Mobilfunkmarkt und bringt mit „Allianz SIM“ ein neues Kombi-Angebot auf den Markt: Für 14,90 Euro im Monat erhalten Kunden nicht nur einen Handytarif, sondern gleichzeitig eine umfassende Geräteversicherung. Prominente Unterstützung holte sich der Versicherer dabei von Branchenkenner Michael Krammer.**

Wie Allianz-Chef Wolfram Littich bei einer Pressekonferenz betonte, geht das Unternehmen damit völlig neue Wege. Im Fokus steht ein Tarifmodell ohne neues Endgerät, dafür aber mit integriertem Schutz für Smartphones und Tablets. „Wir versichern ausdrücklich auch gebrauchte Geräte“, so Littich. Der Schutz greift bei typischen Alltagschäden wie Displaybruch, Flüssigkeitsschäden, Bedienfehlern oder auch bei mutwilliger Beschädigung durch Dritte. 

Bei Teilschäden übernimmt eine Konzerntochter die Reparaturkosten in den ersten zwei Jahren zu 100 Prozent (abzüglich 60 Euro Selbstbehalt), im dritten Jahr liegt die Abdeckung bei 80 Prozent. Bei einem Totalschaden erstattet die Versicherung bis zu zwei Jahre lang die Hälfte des Wertes, danach 40 Prozent. Der Service beinhaltet zudem einen Abhol- und Lieferservice, die Reparatur soll innerhalb von sieben Werktagen erfolgen. Die eigenständige Geräteversicherung für Smartphones oder Tablets ist zudem separat für monatlich vier bis sechs Euro erhältlich.

Besonders flexibel zeigt sich die Allianz beim Gerätealter: Versichert werden können Modelle, die bis zu 34 Monate alt sind. Üblich sind am Markt meist Fristen von maximal sechs Monaten nach dem Kauf. Der Vertrieb läuft rein digital über die Website www.allianz-sim.at. Mit dem neuen Geschäftsfeld will der Konzern vor allem jüngere Zielgruppen ansprechen und den Bekanntheitsgrad steigern. „Das Smartphone ist für viele Menschen der wichtigste Begleiter im Alltag, doch die wenigsten haben es versichert“, erklärte Littich. Statistiken zufolge haben fast 30 Prozent aller Nutzer ihr Gerät bereits einmal beschädigt.

Zum Start schickt die Allianz zwei Tarife ins Rennen: Das Einstiegspaket um 14,90 Euro monatlich beinhaltet jeweils 2.000 Gesprächsminuten und SMS sowie 3 Gigabyte Datenvolumen mit bis zu 21 Mbit/s. Alternativ wird ein reiner Datentarif mit 3 GB für 9 Euro angeboten. Versteckte Kosten gibt es laut Unternehmen nicht. Sobald 80 Prozent des monatlichen Volumens aufgebraucht sind, werden Kunden per SMS informiert und können bei Bedarf für jeweils 4,90 Euro Daten-, Sprach- oder SMS-Pakete nachladen. Wird kein Paket gebucht, kostet jede weitere Einheit vier Cent (für Minuten und SMS) beziehungsweise ein Cent pro Megabyte. 

Genutzt wird das Netz von T-Mobile, die Tarife sind jeweils monatlich kündbar. Als virtueller Netzbetreiber setzt die Allianz auf professionelle Partnerschaften: An Bord ist der frühere Telering- und Orange-Chef Michael Krammer mit seiner Firma Ventocom. Für die technische Abwicklung und Verrechnung wurde eigens die Tochterfirma ATK gegründet, während sich die Allianz um Marketing und Vertrieb kümmert. Datenschutzbedenken wischte das Unternehmen vom Tisch: Sensible Daten wie Bewegungsprofile fließen nicht an den Versicherer.

Die Erfolgsaussichten schätzt man in Wien optimistisch ein. „Jährlich wechseln in Österreich rund 2,5 Millionen Handynutzer ihren Anbieter“, so Krammer. Seine Agentur Ventocom hat Anfang des Jahres bereits den erfolgreichen Diskonter „Hofer Telekom“ (Hot) gestartet, der rasch über 200.000 Kunden zählte. Allianz-Kunden nutzen künftig dieselbe Vorwahl (0677) wie die Hofer-Mobilfunkkunden. 

Zwischen Krammer und der Allianz gibt es noch eine weitere Verbindung: Der Telekom-Manager ist auch Präsident des SK Rapid Wien. Dessen neues Heimstadion, das im kommenden Jahr eröffnet wird, trägt den Namen des Hauptsponsors: Allianz Stadion. Ob es demnächst einen eigenen Fanservice beziehungsweise einen speziellen Rapid-Tarif geben wird, ließ Krammer indes offen: Eine Entscheidung darüber falle erst im Jahr 2016.",de,gemini
