source_id,language,origin,text
en_19,en,gemini,"WASHINGTON (Reuters) — Federal authorities and industry leaders announced plans on Monday for a major U.S. crackdown on counterfeit and pirated merchandise, a burgeoning illicit market that drains hundreds of billions of dollars from American companies every year."
en_20,en,gemini,Cisco is shifting its focus toward smaller enterprises with a new line of switches designed to cut down on the expenses and technical hurdles typically associated with managing a corporate network.
en_21,en,gemini,"PITTSBURGH—Activist investor Carl Icahn is escalating his campaign against Mylan Laboratories, warning that he may nominate a slate of new directors to block the generic drugmaker's proposed $4 billion acquisition of King Pharmaceuticals."
en_22,en,gemini,"In a surprising about-face, storage vendor Quantum has acquired Certance, a major manufacturer of the rival LTO tape format, despite years of aggressively promoting its own proprietary DLT technology as the superior choice."
en_23,en,gemini,Disgraced media mogul Conrad Black is launching a C$1.1 billion ($870 million) lawsuit against Hollinger International's special committee and other defendants. The legal action stems from a damning internal report that accused Black of siphoning millions of dollars from the publishing firm.
en_24,en,gemini,"**Milosevic Proceedings Halted** 

Judges in The Hague have temporarily halted the trial of Slobodan Milosevic, giving his court-appointed defense counsel additional time to ready their arguments."
en_25,en,gemini,"ATHENS — A sudden earthquake jolted the Greek capital on Tuesday, sending tremors through the city and the nearby Olympic venues. According to the Athens Geodynamic Institute, the seismic event shook the area, though officials have not yet released specific details regarding the quake's magnitude or its exact epicenter. There are no immediate reports of any damage or injuries."
en_26,en,gemini,"**Bush Campaign Blocks International Web Traffic** (washingtonpost.com) 
washingtonpost.com — Following a cyberattack last week that knocked the Bush-Cheney reelection campaign offline for six hours, the campaign has restricted access to its website so that it can only be viewed from within the United States, according to computer security experts."
en_27,en,gemini,"**Nextel Partners Faces Changes in Sprint Merger** 

The upcoming $35 billion combination of Sprint Corp. and Nextel Communications could bring significant shifts for Kirkland-based Nextel Partners Inc."
en_28,en,gemini,"Coming off their first back-to-back victories of the season, the Houston Texans are eager to prove themselves against tougher competition. ""I knew that was going to come up,"" Texans coach Dom Capers said with a laugh when asked about the team's newfound momentum."
en_29,en,gemini,"North Carolina turned the page completely ahead of its rematch with Kentucky, with players brushing off the painful memories of last season. Rashad McCants insisted he wasn't dwelling on past trips to Lexington, Jawad Williams echoed that last year was ancient history, and Sean May focused more on bouncing back from his most recent outing than the Tar Heels' Jan. 3 loss at Rupp Arena."
en_30,en,gemini,"According to a Mac community website, holiday shoppers might soon find a brand-new digital photo-displaying iPod under the Christmas tree this season."
en_31,en,gemini,"Seeking to quiet mounting speculation about his future, Denver Broncos head coach Mike Shanahan assured reporters Thursday night that he plans to fulfill the remaining four years of his current agreement."
en_32,en,gemini,"**Iran Claims U.S. Has No Viable Path Forward on Nuclear Issue**

TEHRAN (Reuters) — Washington has reached an impasse regarding Tehran's atomic ambitions, hindered by a lack of concrete evidence needed to push for United Nations sanctions and overextended by military commitments in Iraq, Iranian President Mohammad Khatami stated on Saturday."
en_33,en,gemini,**Low Hopes Surround Georgia Basketball** (AP) — The Georgia Bulldogs are bracing for what is projected to be a tough rebuilding year on the hardwood.
en_34,en,gemini,"Retail investors are jumping back into the U.S. stock market with renewed enthusiasm now that presidential election uncertainty is behind them, and trading firms predict this strong engagement will continue, according to industry executives on Friday."
en_35,en,gemini,"**(AP)** Far from the violence and turmoil of the Middle East, Norway's tranquil capital became an unlikely turning point. It was inside Oslo's secretive talks that two longtime adversaries finally chose to pursue peace."
en_36,en,gemini,"**U.S. Iraq War Military Deaths Reach 1,229** (AP) — The Associated Press reports that as of Tuesday, Nov. 23, 2004, at least 1,229 U.S. service members have lost their lives since the Iraq conflict began in March 2003. According to the Department of Defense, at least 957 of those fatalities were the result of hostile action. The official toll also includes three civilian military contractors."
en_37,en,gemini,"**Iraq: Black Watch soldiers hope for Christmas at home**

Troops declared ""mission accomplished"" after a massive battle group convoy consisting of over 200 vehicles successfully reached the relative security of the Shaibah Logistics Base."
en_38,en,gemini,"**Revlon's Q3 Loss Deepens on Falling Sales and Refinancing Costs**

Cosmetics giant Revlon Inc. reported a wider loss for the third quarter, driven by a 7 percent decline in sales as the company finalized a major restructuring of its debt."
en_39,en,gemini,"As traditional passwords increasingly feel obsolete, physical key rings are expanding to include more than just house and car keys. America Online is now offering its subscribers a small, blue hardware token as an optional security device to make logging onto the internet service significantly more secure."
en_40,en,gemini,"**Police Probe Sharon Death Threats**  
Israeli law enforcement is investigating death threats directed at Prime Minister Ariel Sharon as opposition intensifies against his proposed withdrawal from the Gaza Strip."
en_41,en,gemini,"**Red Hat Executive Questions Sun’s Open-Source Commitment**

A senior Red Hat official has publicly challenged the open-source credibility of longtime business partner Sun Microsystems. In a blog post published Thursday, Michael Tiemann, Red Hat's vice president of open-source affairs, took aim at Sun's approach."
en_42,en,gemini,Arsenal are still battling the lingering fallout from Old Trafford nearly a week and a half after their high-stakes showdown descended into ugly post-match chaos and a bitter war of words with Manchester United.
en_43,en,gemini,"**Federer and Moya Overcome Rain Delays in Houston**

Battling through rain-plagued scheduling that pushed the finish past midnight, Roger Federer secured his second round-robin victory at the ATP Tennis Masters Cup early Thursday morning, downing Lleyton Hewitt 6-3, 6-4 for his fifth straight win over the Australian."
en_44,en,gemini,"Online auction platforms are looking to capitalize on the recent insurance industry scandal. While consumers can easily scour the internet for cheap flights, rare antiques, or stock trades, businesses shopping for group insurance policies have historically—and largely—[been left to traditional brokers]."
en_45,en,gemini,"**Holiday e-mail carries global computer virus**

A malicious computer worm disguised as a festive greeting card is currently circulating rapidly across the internet in multiple languages."
en_46,en,gemini,"**U.S. Forces Could Exit Iraq in Four Years, Rumsfeld Says**

The defense secretary indicated that American troops might withdraw within the timeframe, though he emphasized that the ultimate choice depends on the advancements made by Iraq's emerging leadership."
en_47,en,gemini,"**Questions Linger Over Vote Outcome (AP)** 

AP — With the Electoral College set to formalize President Bush’s re-election on Monday, ongoing anxieties remain regarding the reliability of America’s electoral process—especially in Ohio, where fresh reports highlight equipment malfunctions, ballot confusion, and severe lines in low-income and minority districts."
en_48,en,gemini,"**US Envoy Optimistic Over Nairobi Talks on Sudan** 

Nairobi, Nov. 18 (NNN) — The US special envoy has expressed confidence ahead of a two-day UN Security Council meeting in Kenya, where international ambassadors have gathered to discuss advancing the ongoing peace process in Sudan."
en_49,en,gemini,"**Bobby Valentine Returns to Japan for Lotte Marines Autumn Camp**

Chiba Lotte Marines manager Bobby Valentine has arrived back in Japan to oversee his squad's autumn training camp. Valentine, whose name had recently surfaced as a potential successor to Art Howe for the managerial post..."
en_50,en,gemini,"For decades, millions of physical paper checks have been flown across the country every night to reach their banks of origin. Beginning in October, however, new digital technology is set to bring an end to the nightly transport rush, replacing paper transit with electronic processing."
en_51,en,gemini,"Fueled by a suffocating defense, 11th-ranked Pittsburgh cruised to a 70-51 victory over Memphis on Tuesday night in the Jimmy V Classic. Carl Krauser paved the way for the Panthers, scoring 17 points—nearly all of them coming from the charity stripe—to help secure another dominant win."
en_52,en,gemini,"**Washington moves to draft fresh Darfur UN resolution**

The United States has announced it is working on a new United Nations resolution aimed at addressing the ongoing crisis in Sudan's conflict-ridden Darfur region."
en_53,en,gemini,"To lure customers away from rival Novell, Microsoft is launching a targeted U.S. campaign aimed at NetWare users. The software giant is dangling a variety of incentives, including educational training vouchers, specialized migration tools, and dedicated online technical support for those contemplating a transition."
en_54,en,gemini,"**Chelsea adopt zero-tolerance drug stance as Mutu is sacked**

CHELSEA enforced a strict no-drugs policy yesterday by dismissing Romanian striker Adrian Mutu for gross misconduct following his positive test for cocaine."
en_55,en,gemini,"Like the rest of the Crimson Tide faithful, injured quarterback Brodie Croyle will be watching from home tonight as Alabama takes on No. 17 LSU. If the Crimson Tide can pull off the upset against the Tigers, Croyle..."
en_56,en,gemini,"**Amazon Expands into China**

US e-commerce giant Amazon.com is marking its entry into the Chinese market by acquiring Joyo.com, the country's biggest online retailer, in a transaction valued at $75 million (£41 million)."
en_57,en,gemini,**UK Factory Output Drags Down Q3 Growth (London)** — AFP — Fresh data suggests that Britain’s industrial sector exerted a heavier downward pull on the nation's broader economic growth during the third quarter than initial estimates indicated.
en_58,en,gemini,"**MPAA Launches Wave of P2P Lawsuits**

The Motion Picture Association of America announced today that it has initiated legal action against individuals who trade copyrighted films using peer-to-peer file-sharing networks, though the exact number of lawsuits remains undisclosed."
en_59,en,gemini,Talks between US Airways Group Inc. and its pilots union hit a wall Monday after negotiations over labor concessions broke down. The carrier is currently pushing for $295 million in yearly cost-cuts from the pilot group.
en_60,en,gemini,"**Akamai Expands Web Application Portfolio**

The company has rounded out its suite of hosted services by introducing four new solutions tailored specifically for e-commerce websites."
en_61,en,gemini,"Stargazers and sports fans alike are keeping an eye on the forecast for tonight's lunar eclipse. Astronomers note that if weather permits, observers will be treated to a full moon shifting into a deep red hue as the Earth's shadow moves across its surface."
en_62,en,gemini,"Despite Canada’s official opposition to the Iraq conflict, Ottawa continues to reject refugee claims filed by U.S. military deserters. The Canadian government maintains that these service members do not face persecution back home and has formally dismissed the legal argument that the U.S. war in Iraq violates international law."
en_63,en,gemini,"Three Years On, Bin Laden Remains Elusive 
The international coalition spearheaded by the United States is continuing its active manhunt for Osama bin Laden, the primary suspect behind the devastating September 11, 2001, terrorist attacks on American soil."
en_64,en,gemini,"**Moss ruled out for Packers clash**

EDEN PRAIRIE, Minn. — The Minnesota Vikings have officially downgraded All-Pro wide receiver Randy Moss from doubtful to out ahead of Sunday's upcoming matchup in Green Bay."
en_65,en,gemini,"**Hillary Rosen and Larry Lessig Form Unlikely Alliance**

In a surprising twist, former Recording Industry Association of America chief Hillary Rosen has penned a glowing tribute in *Wired* to her longtime adversary, Creative Commons founder Larry Lessig. Despite years of intense policy clashes, the former foes are burying the hatchet, marking a stunning reconciliation in the tech and copyright worlds."
en_66,en,gemini,"New England's historic NFL winning streak has now reached 19 games. While this region of the country is deeply devoted to its rich historical roots, the franchise's record-breaking run on the gridiron may not quite match the legendary status of Paul Revere's midnight ride."
en_67,en,gemini,"Purdue signal-caller Kyle Orton was held out of the starting lineup for Saturday's matchup against Ohio State due to an ongoing right hip issue. Although the Boilermakers quarterback was dressed and cleared to play if needed, he ultimately began the game on the bench as he continues to recover from the injury that has lingered for the past month."
en_68,en,gemini,"Costly miscues derailed the New York Knicks on Wednesday night, handing them a painful 94-93 defeat to the Detroit Pistons at Madison Square Garden. Despite squandering a lead and letting another crucial game slip away, the team was left looking at the narrow loss as a tough lesson moving forward."
en_69,en,gemini,"**Trucking Stock Takes a Hit**

While the broader trucking sector continues to present compelling long-term value for investors, questions are now swirling around the market outlook for SCS Transportation."
en_70,en,gemini,"In a grand government-backed push for peace, millions of paper origami cranes drifted from the skies yesterday across Thailand’s three volatile southern provinces, offering a symbolic gesture of harmony to the predominantly Muslim region."
en_71,en,gemini,Tech giants Yahoo and Adobe Systems have formed a strategic partnership to cross-promote their customer bases and integrate Yahoo's web search capabilities directly into Adobe's widely used Acrobat Reader software.
en_72,en,gemini,"Highlighting the ongoing crisis within the American aviation industry, US Airways sought Chapter 11 bankruptcy protection on Sunday, marking the carrier's second trip to bankruptcy court in just two years."
en_73,en,gemini,"**China allegedly blocks Google News**

Media watchdog Reporters Without Borders has accused Beijing of restricting access to Google News. The Paris-based advocacy group reported that the English-language news platform has been inaccessible within the country for the past ten days."
en_74,en,gemini,"**Sprint Nearing $35 Billion Acquisition of Nextel, Sources Say**

**Reuters** — Sprint Corp. is reportedly on the verge of acquiring Nextel Communications Inc. in a predominantly stock transaction valued at roughly $35 billion, a move that would merge the country's third- and fourth-largest wireless carriers."
en_75,en,gemini,"**Orton Sparks Purdue Past Illinois in Big Ten Opener**

Purdue’s aerial attack clashed with Illinois’ ground game on Saturday afternoon, as quarterback Kyle Orton led the Boilermakers to a victory over the Fighting Illini in the Big Ten conference opener for both teams at Memorial Stadium in Champaign."
en_76,en,gemini,"An early wake-up call for LSU. Can a season truly be derailed before Labor Day? Usually, the answer is no. Even the most devastating defeats can be overcome when they happen on opening weekend. There is still plenty of time for a squad to recover from the sting of an unexpected early upset."
en_77,en,gemini,"**BRANSON’S SPACE VISION ATTRACTS £800M**

MORE than £800 million has already been pledged towards Sir Richard Branson’s commercial space travel venture, despite the spacecraft still being years away from construction."
en_78,en,gemini,"Boston stands just one victory away from a sweep after Pedro Martinez delivered a dazzling seven-inning performance, pushing the Red Sox to a commanding three-games-to-none series lead. By Marc Topkin, Times Staff Writer. ST."
en_79,en,gemini,"**Politics: Parties eye rising global oil prices nervously**

The National Party's decision to delay key policy rollouts until closer to the election has drawn a mixed reaction from voters and opponents alike."
en_80,en,gemini,"**Traian Basescu Secures Upset Win in Romanian Presidential Election**

Final results released Monday revealed that former sea captain turned politician Traian Basescu pulled off a surprise victory in Romania's presidential run-off vote held over the weekend."
en_81,en,gemini,"**Shift in Bush Environmental Strategy**

The Bush administration has shaken up traditional policymaking standards by introducing a fresh set of priorities and methods for addressing environmental challenges."
en_82,en,gemini,"WASHINGTON/CHICAGO (Reuters) - Following a second round of advanced diagnostic testing, the U.S. Agriculture Department announced Tuesday that a cow previously suspected of carrying mad cow disease has tested negative, prompting cattle prices to rally in anticipation of the result."
en_83,en,gemini,"**AP –** Making an unannounced trip to the Russian Embassy on Sunday, President Bush signed a condolence book for the victims of the deadly school hostage crisis, forcefully condemning the acts of ""evil terrorists."""
en_84,en,gemini,"**Padres Shut Out Mets 4-0 Behind Lawrence**

(AP) — Brian Lawrence pitched out of a bases-loaded predicament in the opening inning and surrendered only four hits over the remainder of the game Wednesday night, leading the San Diego Padres to a 4-0 win against the struggling New York Mets."
en_85,en,gemini,"Disney Chief Executive Michael Eisner testified in court for the first time Monday as part of a shareholder lawsuit, defending his controversial decision to hire former super-agent Michael Ovitz as the company's second-in-command nearly a decade ago."
en_86,en,gemini,"**Multinational oil corporations initiated negotiations on Monday with Nigerian residents who have seized three offshore platforms in a labor dispute, an action that has halted 90,000 barrels of daily crude production.**"
en_87,en,gemini,"**Beijing cracks down on cybercafes, shutting 1,600 venues**

Between February and August, local authorities across China shuttered 1,600 internet cafes and slapped operators with a combined 100 million yuan ($12 million) in fines as part of a sweeping regulatory crackdown."
en_88,en,gemini,"No. 19 Pittsburgh secured a BCS berth on Saturday, dominating South Florida 43-14 behind a career-best performance from quarterback Tyler Palko, who threw for 411 yards and five touchdowns."
en_89,en,gemini,"**Bangladesh Strike Turns Violent, Leaving Over 80 Injured** (Reuters) — Reuters - Opposition protesters clashed with police and targeted railway stations across Bangladesh on Tuesday, injuring more than 80 people on the opening day of a two-day nationwide strike called to condemn a deadly weekend grenade attack."
en_90,en,gemini,"**Roddick Ready to Defend US Open Title**

Defending champion Andy Roddick is eager to harness a ""charged"" home crowd atmosphere as he prepares to kick off his US Open campaign next week. The American star, who begins his title defense against a compatriot..."
en_91,en,gemini,"**Cheney Backs Bush’s Attacks on Kerry (AP)** — Vice President Dick Cheney on Wednesday reinforced President Bush's ongoing questioning of Sen. John Kerry's capability to act as commander in chief, while relishing praise from enthusiastic Republican supporters following his recent debate performance."
en_92,en,gemini,"Lawmakers have directed the U.S. Federal Trade Commission to explore new ways to curb unwanted emails, specifically asking the agency to investigate potential anti-spam bounties and the feasibility of a national ""Do Not Spam"" registry originally proposed under the CAN-SPAM Act."
en_93,en,gemini,"**Feds Target Alleged 'Spam King'**

Federal prosecutors are moving to shut down an unlawful internet enterprise operating out of a Rochester dance club. Authorities say the business has been flooding user computers with intrusive pop-up advertisements by hijacking web browsers."
en_94,en,gemini,"**Microsoft prepares for European antitrust court battle** 

US software titan Microsoft has announced it will comply with the ultimate verdict of a European appeal court—set to begin hearings this week—following an EU ruling that penalized the company for abusing its dominant market position."
en_95,en,gemini,"**Marlins Postpone Cubs Game Due to Hurricane Frances (AP)**

AP - The Florida Marlins called off Sunday's matchup against the Chicago Cubs as Hurricane Frances made landfall along the state's eastern coast."
en_96,en,gemini,"**NEW YORK (Reuters)** — U.S. chain store revenues presented a varied picture during the second week of October, though overall figures managed a year-over-year increase. According to a report released Tuesday, heightened demand for seasonal merchandise helped lift retail performance for the period."
en_97,en,gemini,"**MOTOR RACING: FRANCHITTI MAKES IT A DOUBLE**

DARIO FRANCHITTI secured his second Indy Racing League victory of the 2004 season with a dominant performance at Pikes Peak. The Scottish driver, who managed only a fourth-place finish at the Colorado circuit last year, bounced back in style by controlling the front of the field."
en_98,en,gemini,"**U.S. Equities, Treasuries and Dollar Drop**

NEW YORK (Reuters) — Wall Street equities and government debt traded lower on Tuesday, pressured by a sharp decline that saw the U.S. dollar plunge to an all-time low relative to the euro."
en_99,en,gemini,"ST. LOUIS -- While the cookie-cutter multipurpose bowls that popped up in cities like Pittsburgh, Cincinnati, Atlanta, Queens, Philadelphia, and St. Louis during the late 1960s and early '70s earned a dreary reputation, even these uniform stadiums managed to possess unique quirks of their own."
en_100,en,gemini,"Wall Street managed slight gains in New York yesterday, though major indexes finished well off their highs after oil prices surged to record closing levels. The jump in energy costs quickly trimmed earlier market advances, reigniting investor anxiety over how expensive fuel might weigh on corporate earnings and dampen future consumer spending."
en_101,en,gemini,"**Nigeria Blocks Halliburton From State Contracts**

The Nigerian government announced Monday that it has prohibited Halliburton, the world's second-biggest oilfield services provider, from securing public contracts following the disappearance of two radioactive devices from its local subsidiary."
en_102,en,gemini,"Healthcare giant Johnson & Johnson has announced a $25.4bn (£13.1bn) acquisition of Guidant Corporation, securing the company's entry into the booming market for heart-regulating medical devices."
en_103,en,gemini,"NEW YORK, December 3 (newratings.com) - The governing board of Calpers, the massive California public employees' retirement system, is set to kick off its search for a new president today following the departure of Sean Harrigan."
en_104,en,gemini,"According to an ESPN report on Tuesday, the Denver Broncos will be without Quentin Griffin for the remainder of the year. The running back and primary kickoff returner suffered a season-ending injury, though the network did not cite specific sources for the news."
en_105,en,gemini,"Best known for inventing logarithms, John Napier was a true polymath who also popularized the modern decimal point and famously argued that the reigning Pope was the Antichrist. Among his many pursuits, the versatile 16th-century Scottish mathematician devised an early system for automating binary arithmetic. By utilizing just a standard chessboard and a handful of counters, Napier created a rudimentary yet ingenious method to multiply, divide, and extract square roots using binary numbers."
en_106,en,gemini,"**MOSCOW, Sept. 16, 2004** — Investigators revealed that several firearms utilized by attackers in the tragic Russian school massacre were looted from law enforcement outposts during raids allegedly orchestrated by one of Chechnya’s most wanted rebel commanders."
en_107,en,gemini,"**Sony Introduces Educational Robots** 
Humanoid technology is heading to the classroom to help spark student interest in STEM subjects."
en_108,en,gemini,"**IOC Launches Probe Into Jones Doping Allegations**

The International Olympic Committee (IOC) announced Tuesday that President Jacques Rogge has established a Disciplinary Commission to investigate doping claims made against Marion Jones. The panel will review statements broadcast last Friday on ABC's ""20/20"" by Victor Conte, the founder of the California-based BALCO laboratory."
en_109,en,gemini,"**A.I.G. Nears Settlement in U.S. Inquiries**
Insurance giant A.I.G. has reached a tentative deal to pay $126 million and submit to independent oversight to resolve federal probes into its sales practices."
en_110,en,gemini,"**Siemens Issues Safety Alert for 65-Series Mobile Phones**

German tech giant Siemens has issued a formal warning regarding its latest line of 65-series handsets, cautioning that a potential hardware defect could pose a physical injury risk to users during operation."
en_111,en,gemini,"MILAN (Reuters) — The global boom in blockbuster video games and inexpensive internet calling is driving a surge in sales for Plantronics, the world’s top manufacturer of phone headsets said on Wednesday."
en_112,en,gemini,"**LAGOS (Reuters)** – Militants clashing with government forces in southern Nigeria’s Port Harcourt region plan to expand their armed campaign across the entire oil-rich delta, a rebel commander announced Sunday, aiming to push for sweeping political changes or complete independence."
en_113,en,gemini,"Manchester United brought Arsenal's historic 49-match unbeaten Premier League streak to a halt on Sunday, securing a hard-fought 2-0 victory over their fierce rivals in a fiery clash at Old Trafford."
en_114,en,gemini,"**BHP to Boost Pilbara Capacity**

Mining giant BHP Billiton has revealed plans for another major expansion of its Pilbara operations to satisfy ongoing Asian market demand. Backed by a $780 million investment under its Rapid Growth Project, the company will significantly increase its overall production capacity."
en_115,en,gemini,"**JAKARTA (AFP)** — Indonesian President Susilo Bambang Yudhoyono has officially prolonged the civil emergency in the separatist-plagued province of Aceh for another six months, while vowing to resolve the bloody insurgency independently without international intervention."
en_116,en,gemini,"**Back to Earth for Rooney**

Following a fairytale debut, Wayne Rooney was given a stark introduction to the realities of Manchester United yesterday. The 18-year-old striker might well have been forgiven for assuming that life at Old Trafford would be an uninterrupted dream."
en_117,en,gemini,**(AP) ST. LOUIS** — Punter Sean Landeta has lost his job with the St. Louis Rams following a series of struggles by the team's special teams unit.
en_118,en,gemini,"**Ford Shakeup Follows Signs of Recovery as Two Top Executives Depart**

Two of Ford Motor Company’s highest-ranking executives are stepping down following retirements that signal the automaker's severe financial crisis has eased, even as significant hurdles persist."
en_119,en,gemini,HISTORIC SERIES TRIUMPH FOR AUSTRALIA Australia secured their first Test series victory on Indian soil in 35 years following a crushing 342-run triumph during the third Test in Nagpur.
de_0,de,gemini,"Hier ist eine inhaltlich identische, sprachlich natürliche und im Umfang vergleichbare Nachrichtenfassung:

Mit einer grundlegenden Rede hat der britische Premier David Cameron in London den entscheidenden Schlagabtausch über den EU-Verbleib seines Landes eröffnet. Vor dem Forschungsinstitut Chatham House nannte er am Dienstag vier zentrale Bedingungen für einen Verbleib in der Gemeinschaft: Neben mehr Flexibilität für die EU und Sonderrechten für Nicht-Euroländer fordert London vor allem Einschränkungen bei den Sozialleistungen für Zuwanderer aus anderen Mitgliedstaaten. Zwar betonte der Konservative, er wolle die EU-Mitgliedschaft langfristig sichern, schloss einen Austritt jedoch ausdrücklich nicht aus. Die geforderten Reformen nannte er vorteilhaft für ganz Europa. 

In seiner knapp dreiviertelstündigen Ansprache unterstrich Cameron die Rolle der 28er-Runde für die Sicherheit des Kontinents und verglich die EU mit Institutionen wie der Nato. Als zweitgrößte Wirtschaftsmacht und drittgrößter Nettozahler könne Großbritannien erwarten, dass auf seine Sorgen eingegangen werde. Angesichts globaler Krisen wie dem Ukraine-Konflikt, der Euro- und Flüchtlingskrise sowie dem Terror des IS sei die europäische Zusammenarbeit wichtiger denn je, so Cameron. 

Die Rede und ein parallel verschickter Brief an EU-Ratspräsident Donald Tusk bilden das Fundament für die anstehenden Verhandlungen bis zum EU-Gipfel im Dezember. In London wird spekuliert, dass es bei einer Einigung bereits im kommenden Juni zum versprochenen Referendum kommen könnte. Die britischen Kernforderungen umfassen neben dem Abschied vom Ziel einer „immer engeren Union“ und dem Schutz der Euro-Außenseiter vor allem eine vierjährige Wartezeit für EU-Ausländer beim Bezug britischer Sozialhilfen.

Die Reaktionen in der britischen Heimat waren geteilt und machten deutlich, dass Cameron innenpolitisch mindestens ebenso harte Kämpfe bevorstehen wie in Brüssel. EU-Gegner aus den eigenen Reihen taten die Forderungen als unzureichend ab, während die Labour-Opposition signalisierte, den geplanten Kurs bei den Sozialleistungen mitzutragen. Die Brexit-Kampagne „Vote Leave“ versuchte unterdessen, den Auftritt des Premiers mit Störaktionen zu begleiten. 

Aus Brüssel kam umgehend Gegenwind: Die EU-Kommission stufte Camerons Vorstoß als hochproblematisch ein, insbesondere die Einschränkung der Freizügigkeit für Arbeitnehmer. Zustimmung gilt hingegen als wahrscheinlich bei der Aufwertung nationaler Parlamente. Bundeskanzlerin Angela Merkel zeigte sich optimistisch, dass sich für alle Streitpunkte Kompromisse finden lassen werden, vermied jedoch inhaltliche Details."
