text,language,origin
"**Cisco targets small businesses with simplified networking line**

Tech giant Cisco is aggressively courting the small-business market, rolling out new hardware designed to cut both the operating costs and technical complexity of its enterprise-grade networks.",en,gemini
"PITTSBURGH — Activist investor Carl Icahn, Mylan Laboratories’ top shareholder, has stepped up his campaign against the generic drug manufacturer's proposed $4 billion acquisition of King Pharmaceuticals by threatening a boardroom shakeup to block the deal.",en,gemini
"**Quantum Acquires Rival Certance in Major Tape Storage Shift**

After years of fiercely championing its own DLT tape technology over competing formats, storage giant Quantum has made a surprising pivot by purchasing Certance, one of the primary manufacturers of the rival LTO standard.",en,gemini
"**Black Files C$1.1 Billion Lawsuit Against Hollinger Panel**

Disgraced media mogul Conrad Black is taking legal action against the special committee of Hollinger International Inc. and several others, seeking C$1.1 billion ($870 million). The lawsuit stems from a contentious corporate report that alleged he misappropriated millions of dollars from the publishing empire.",en,gemini
"**Milosevic trial put on hold**

Judges in The Hague have halted the trial of Slobodan Milosevic to give his court-appointed defense attorneys additional time to prepare their arguments.",en,gemini
"ATHENS — A sudden earthquake jolted the Greek capital on Tuesday, sending tremors through the city and its Olympic facilities. According to the Athens Geodynamic Institute, the seismic event shook the area, though immediate details regarding the quake's magnitude and exact epicenter remained unavailable.",en,gemini
"**Bush Reelection Campaign Blocks Overseas Traffic After Cyberattack**

Washingtonpost.com — Following a cyberattack that knocked the campaign's internet address offline for six hours last week, the Bush-Cheney reelection effort has restricted international visitors from accessing its website, computer security specialists report.",en,gemini
"**Nextel Partners Faces Changes in Sprint Merger**

The multi-billion-dollar combination of Sprint Corp. and Nextel Communications could soon bring significant shifts for Kirkland-based Nextel Partners Inc.",en,gemini
"Coming off their first back-to-back victories of the season, the Houston Texans are eager to prove themselves against tougher competition. ""I knew that was going to come up,"" Texans coach Dom Capers said with a laugh when asked about the team's growing confidence.",en,gemini
"North Carolina players brushed off memories of last season's struggles ahead of their rematch with Kentucky. Guard Rashad McCants insisted he wasn't dwelling on the past, teammate Jawad Williams echoed that last year is gone, and forward Sean May noted his focus was entirely on his most recent performance rather than the Tar Heels' Jan. 3 loss at Rupp Arena.",en,gemini
"Rumors are swirling within the Apple community that a photo-displaying iPod could make its debut just in time for the holiday shopping season, according to a recent report from a prominent Macintosh news website.",en,gemini
"Denver Broncos coach Mike Shanahan moved to squash speculation about his future on Thursday night, confirming that he plans to fulfill the remaining four years of his current contract with the team.",en,gemini
"**TEHRAN (Reuters)** — Washington has run out of viable strategies to counter Iran’s nuclear ambitions, Iranian President Mohammad Khatami declared Saturday. He argued that the U.S. lacks the necessary evidence to push for United Nations sanctions and is currently too deeply entangled in Iraq to consider military intervention.",en,gemini
"**Low Hopes Surround Georgia Basketball** 

(AP) — The Georgia Bulldogs are bracing for a tough season ahead on the hardwood, with analysts predicting a major struggle.",en,gemini
"**Brokerages Report Surge in Retail Trading as Election Uncertainty Fades**

With the presidential election safely in the rearview mirror, individual investors have made a roaring comeback to the U.S. stock market—and trading firms suggest this renewed enthusiasm is here to stay, industry executives noted Friday.",en,gemini
"(AP) — Far from the turmoil and violence of the Middle East, Norway’s peaceful capital served as an unlikely backdrop. Yet it was behind closed doors in Oslo that two seasoned adversaries finally chose to pursue peace.",en,gemini
"**U.S. Iraq War Death Toll Reaches 1,229 (AP)** 

AP — U.S. military fatalities in the Iraq conflict have reached a minimum of 1,229 as of Tuesday, Nov. 23, 2004, following an independent tally by the Associated Press. Out of that total, the Department of Defense reports that at least 957 personnel were killed in combat. This overall count also accounts for three civilian defense employees.",en,gemini
"**IRAQ: Black Watch Hopeful for Christmas at Home**

British troops have declared ""mission accomplished"" after a massive convoy carrying more than 200 vehicles successfully reached the relative safety of the Shaibah Logistics Base.",en,gemini
"Revlon Inc.'s net loss deepened during the third quarter, driven by a 7 percent decline in sales while the major cosmetics company finalized a complex refinancing initiative.",en,gemini
"Traditional passwords are quickly becoming obsolete as new authentication methods emerge. Consider the average person's heavy key ring, loaded with house keys, car remotes, and distant door fobs. Now, technology companies are introducing physical hardware tokens—such as a small blue gadget recently launched for logging onto America Online. While using these new security devices remains optional, adopting them is a smart move for users looking to ...",en,gemini
"**Police Probe Death Threats Against Sharon Amid Gaza Withdrawal Backlash**

Israeli law enforcement has launched an investigation into death threats directed at Prime Minister Ariel Sharon, as fierce political opposition grows against his controversial plan to evacuate the Gaza Strip.",en,gemini
"**Red Hat executive challenges Sun's open-source record**

A senior Red Hat official has publicly questioned the open-source credibility of business partner Sun Microsystems. In a blog post published Thursday, Michael Tiemann, Red Hat's vice president of open-source affairs...",en,gemini
"Arsenal are still fighting to move past the lingering fallout from Old Trafford, more than a week after the Match of the Decade descended into the infamous ""Battle of the Buffet"" and sparked a bitter war of words between the two fierce rivals.",en,gemini
"Plagued by persistent rain delays that pushed the finish past midnight, Roger Federer secured a straight-sets victory over Lleyton Hewitt early Thursday morning at the ATP Tennis Masters Cup in Houston. The 6-3, 6-4 win marked Federer's fifth consecutive triumph against his Australian rival in round-robin play.",en,gemini
"Online auction and bidding companies are looking to capitalize on the recent insurance industry scandal to expand their market share. While consumers routinely use the internet to sniff out bargains on everything from airline tickets and rare antiques to equities, corporate buyers have traditionally steered clear of the Web when purchasing group insurance policies.",en,gemini
"**Multilingual Christmas Card Virus Spreads Online** 

A malicious computer virus disguised as a festive holiday e-mail greeting is currently circulating across the internet in multiple languages.",en,gemini
"**U.S. Forces Could Leave Iraq in Four Years, Says Rumsfeld** 
The defense secretary added, however, that any ultimate withdrawal timeline will depend on the performance of Iraq's newly formed government.",en,gemini
"**Questions Linger Over Vote Outcome (AP)** 

AP — With the Electoral College set to formalize President Bush’s re-election on Monday, ongoing anxieties remain regarding the reliability of America's electoral process. These concerns are especially pronounced in Ohio, where new reports highlight technical malfunctions, voter mix-ups, and severely congested polling locations in low-income and minority communities.",en,gemini
"**US Envoy Upbeat Ahead of Nairobi Talks on Sudan**

**Nairobi, Nov. 18 (NNN)** — A top US diplomat has expressed optimism regarding upcoming UN Security Council discussions in Kenya, where international envoys are gathering for a two-day summit dedicated to advancing the Sudanese peace process.",en,gemini
"**Bobby Valentine Returns to Japan for Lotte Marines Autumn Camp**

Chiba Lotte Marines manager Bobby Valentine has arrived back in Japan to oversee his squad's upcoming autumn training sessions. Valentine, whose name had recently surfaced as a potential successor to Art Howe as skipper—",en,gemini
"The days of physical checks traveling across the nation overnight are coming to an end. Beginning in October, new digital technology will replace the traditional paper-routing system, largely eliminating the logistical float for good.",en,gemini
"Powered by a suffocating defense, 11th-ranked Pittsburgh cruised to a 70-51 victory over Memphis on Tuesday night in the Jimmy V Classic. Carl Krauser paced the Panthers with 17 points, doing the heavy lifting by scoring 15 of them from the free-throw line.",en,gemini
"**US Drafting New Resolution for Darfur**

Washington has announced it is currently formulating a fresh United Nations resolution aimed at addressing the ongoing crisis in Sudan's volatile Darfur region.",en,gemini
"Microsoft is aggressively targeting Novell NetWare users in the U.S. with a new promotional campaign. The software giant is offering financial incentives, including training vouchers, specialized migration tools, and dedicated online technical support to persuade administrators to transition to its platform.",en,gemini
"**Chelsea adopt zero-tolerance drug stance as Mutu is sacked**

CHELSEA maintained a strict zero-tolerance approach to recreational drugs yesterday by terminating Adrian Mutu’s contract for gross misconduct, following the Romanian forward's positive test for cocaine.",en,gemini
"Injured Alabama quarterback Brodie Croyle, much like the rest of the Crimson Tide faithful, will be watching tonight's crucial matchup against No. 17 LSU from home as his offense prepares for a major challenge. Should the Tide manage to pull off the upset against the Tigers, Croyle...",en,gemini
"**Amazon Expands into China** 

US e-commerce giant Amazon.com is set to acquire Joyo.com, China’s largest online retailer, in a transaction valued at $75 million (£41 million).",en,gemini
"**UK Growth Slipped Further on Industrial Slump (AFP)** 

AFP - Fresh data indicates that Britain's manufacturing and industrial sectors exerted a heavier downward pull on the nation's third-quarter economic expansion than initial estimates suggested.",en,gemini
"**MPAA Launches Wave of P2P Lawsuits**

The Motion Picture Association of America announced today that it has initiated legal action against individuals who trade copyrighted films using peer-to-peer file-sharing networks, though the exact number of lawsuits remains undisclosed.",en,gemini
"**US Airways, pilots fail to reach labor deal**  
Talks between US Airways Group Inc. and its pilot union broke down on Monday after failing to secure an agreement on wage and benefit cuts. The carrier is pushing for $295 million in yearly labor concessions from the pilots.",en,gemini
"Hier ist eine Neufassung im natürlichen Nachrichtenstil, die Länge und Thema beibehält:

Mit einer grundlegenden Rede hat der britische Premierminister David Cameron die heiße Phase der EU-Verhandlungen eröffnet und vier zentrale Reformforderungen formuliert. Vor dem Londoner Thinktank Chatham House machte er am Dienstag deutlich, dass er zwar Londons Verbleib in der Gemeinschaft langfristig sichern will, einen ""Brexit"" jedoch weiterhin nicht ausschließt. Seine Vorschläge – von mehr Flexibilität für Brüssel über den Schutz von Nicht-Euro-Staaten bis hin zu Leistungskürzungen für EU-Migranten – seien nicht nur für Großbritannien, sondern für die gesamte Union von Vorteil.

In seiner rund 45-minütigen Ansprache unterstrich der Konservative die Rolle Europas für die wirtschaftliche und militärische Sicherheit. Als zweitgrößte Wirtschaftskraft und zweitgrößter Nettozahler könne sein Land erwarten, dass auf britische Sorgen eingegangen werde. Angesichts globaler Krisen wie dem Ukraine-Konflikt, der Euro- und Flüchtlingskrise sowie dem Terror des IS sei die Zusammenarbeit europäischer Demokratien heute wichtiger denn je, betonte Cameron mit Verweis auf sein 2013 gegebenes Versprechen eines Referendums bis Ende 2017. 

Die Rede und ein parallel an EU-Ratspräsident Donald Tusk übermittelter Brief bilden das Fundament für die Gespräche bis zum EU-Gipfel im Dezember. Gelingt bis Januar eine Einigung, könnte das Referendum laut britischen Planungen bereits im Juni stattfinden – ein Zeitplan, den auch Finanzminister George Osborne nach Gesprächen mit EU-Kommissionschef Jean-Claude Juncker unterstützt. 

Konkret fordert London, dass der Euro nicht mehr als verpflichtendes Ziel für alle gilt, eine vertragliche Entbindung von der Formel einer „immer engeren Union“ und einen Fokus auf mehr Wettbewerbsfähigkeit. Zudem sollen EU-Ausländer in den ersten vier Jahren ihres Aufenthalts in Großbritannien von bestimmten Sozialleistungen ausgeschlossen werden. 

Zu Hause weht Cameron scharfer Wind entgegen. Aus der eigenen Tory-Fraktion und dem Oberhaus drängen zahlreiche Abgeordnete und Minister offen auf den Austritt. EU-Gegner Jacob Rees-Mogg tat die Forderungen als „dünne Suppe“ ab, und Ukip-Chef Nigel Farage sprach von einer „Charade“. Selbst Störaktionen bei Wirtschaftsverbänden wurden von Brexit-Befürwortern organisiert. Unterstützung signalisierte dagegen überraschend die Labour-Abgeordnete Emma Reynolds beim umstrittenen Thema der Sozialleistungen für Zuwanderer.

Auch aus Brüssel kommt heftiger Gegenwind: Die EU-Kommission bezeichnete Camerons Vorstoß als hochproblematisch. Vor allem die geplante Einschränkung der Freizügigkeit für Arbeitnehmer stieß bei Sprecher Margaritis Schinas auf Kritik, während die Stärkung nationaler Parlamente machbar erscheint. Bundeskanzlerin Angela Merkel zeigte sich indes zuversichtlich, dass sich für alle Streitpunkte Kompromisse finden lassen werden.",de,gemini
"**Wien** – Trotz der Abgasaffäre blickt Europas größter VW-Händler, die Porsche Holding Salzburg, auf ein starkes Geschäftsjahr zurück. „Für uns war das ein sehr gutes Jahr“, betonte Holding-Sprecher Alain Favey in Wien. Während das Geschäft in Österreich auf hohem Niveau stabil blieb und ein Marktanteil von rund 35 Prozent gehalten werden konnte, verlief die Entwicklung in Zentral- und Südosteuropa besonders positiv. An den Rekordwert aus dem Jahr 2011 wird man zwar nicht heranreichen, Anlass zur Sorge gebe es jedoch nicht – vor allem, da sich vier Konzernmarken in den Top 10 platzieren konnten. 

Besonders erfreulich lief das Jahr für die Porsche-Händler selbst, die ein Absatzplus von 22 Prozent auf voraussichtlich 1235 Neuzulassungen verzeichnen. Konkrete Finanzzahlen nannte Favey zwar nicht, sprach aber von einem glänzenden Jahr für den Vertrieb.

Ganz spurlos ging der Abgasskandal freilich nicht vorüber: In Europa musste Volkswagen im November laut ACEA-Zahlen Einbußen bei den Marktanteilen hinnehmen. Bei der Porsche Holding ist man derweil stark mit der Bewältigung der Krise beschäftigt. Rund 7000 Mitarbeiter sind in die Abwicklung eingebunden, finanzielle Belastungen entstehen dem Unternehmen laut Favey jedoch nicht, da alle Kosten von der VW AG getragen werden. 

Die Rückrufaktion für die hierzulande rund 388.000 betroffenen Fahrzeuge läuft an; die ersten Kundenanschreiben sind bereits verschickt. Los geht es in der letzten Jännerwoche mit Modellen des 2,0-Liter-TDI, die ein Software-Update erhalten. Ab Kalenderwoche 33 folgen die 1,2-Liter-TDI. Im September startet schließlich die Aktion für die 1,6-Liter-TDI-Motoren, bei denen neben einem Software-Update auch ein etwa einstündiger Hardware-Tausch nötig ist. Für Mobilitätsersatz während der Werkstattbesuche werde gesorgt. Den Mehraufwand für die Händler beziffert Favey auf überschaubare vier Prozent des üblichen Volumens.

Deutlich lieber richtet sich der Blick der Holding jedoch auf das Jahr 2016. Rückenwind erhofft man sich vor allem durch niedrige Zinsen und Ölpreise. Zudem forciert der Konzern die Elektromobilität: Der neue e-Golf soll im kommenden Jahr auf den Markt kommen und – unter Einberechnung aller Förderungen – exakt so viel kosten wie ein vergleichbares Dieselmodell.",de,gemini
"Hier ist eine zusammenfassende Neuformulierung im typischen Stil eines Auslandsberichts:

**Nepals Politik in der Krise: Egoismus bremst den Wiederaufbau**

Ein Jahr nach der verheerenden Erdbebenkatastrophe in Nepal kommt der Wiederaufbau kaum voran. Der bekannte Politologe Lok Raj Baral macht dafür vor allem die einheimischen Politiker verantwortlich. Die Parteien seien zu sehr mit Machterhalt und internen Machtkämpfen beschäftigt, anstatt das Land voranzubringen. Selbst bei der Besetzung des Wiederaufbau-Koordinators habe man sich monatelang blockiert.

Auch die neue Verfassung sorgt für anhaltenden Unmut. Besonders die Minderheit der Madhesi im Süden fordert Korrekturen bei den neu zugeschnittenen Provinzen sowie beim umstrittenen Staatsbürgerschaftsrecht. Laut Baral könnten die etablierten Parteien diese Konflikte jedoch rasch lösen, wenn der politische Wille vorhanden wäre. Die Frustration über die schwache Staatsführung führt zudem dazu, dass manche Bürger nostalgisch auf die Monarchie blicken oder den Säkularismus infrage stellen. 

Zusätzlich belasten die angespannten Beziehungen zum Nachbarn Indien das Land. Viele Nepalesen zeigen sich enttäuscht über die jüngste inoffizielle Blockade aus Delhi. Indien, das traditionell großen Einfluss auf Nepals Innenpolitik ausübt, sieht den wachsenden Einfluss Chinas in der Region mit Argusaugen. Für die Regierung in Kathmandu bleibt deshalb ein diplomatischer Drahtseilakt zwischen den beiden Großmächten unumgänglich.",de,gemini
"Hier ist eine Neufassung des Textes im gewohnten journalistischen Nachrichtenstil, die das Thema aufgreift und in Länge und Struktur vergleichbar ist:

**Das Dilemma des UNHCR: Zwischen Krisenherden und Europa**

Dem UN-Flüchtlingshochkommissariat wird oft vorgeworfen, in der europäischen Flüchtlingskrise zu langsam reagiert zu haben – obwohl Nothilfe in der EU eigentlich gar nicht zu seinem klassischen Mandat gehört. Als im Herbst 2015 Tausende Menschen unter menschenunwürdigen Bedingungen im ungarischen Röszke strandeten, übernahmen zunächst Freiwillige wie der Salzburger Behindertenbetreuer Josef Hofer die Versorgung. Große Hilfsorganisationen und das UNHCR trafen erst verspätet ein. Hofers Versuch, sich mit einer lokalen UNHCR-Vertreterin abzusprechen, verlief im Sande: Sie notierte seine Nummer, meldete sich jedoch nie wieder. 

Ähnliche Beschwerden gab es auch von den griechischen Inseln, wo die Organisation anfangs kaum spürbar war. Aikaterini Kitidi, Sprecherin auf Lesbos, brachte die Fehleinschätzung damals auf den Punkt: Man sei in der EU und habe schlicht nicht damit gerechnet, dort operativ eingreifen zu müssen – Europa sollte das allein bewältigen. 

Doch die Realität zwang das UNHCR zum Handeln. So wurde das kleine Team in Athen binnen kurzer Zeit von einer reinen Beratungsstelle zu einem Großeinsatz mit über 100 Mitarbeitern umfunktioniert, auch entlang der Balkanroute musste die Strategie angepasst werden. Laut Demetrios Papademetriou vom Migration Policy Institute agiert die Organisation in einem permanenten Zustand der Vorhersage, da sich die Routen und Krisenpunkte ständig verändern. Zudem wurden die Länderstrukturen reformiert: Ein eigener Europa-Koordinator steuert nun direkt die Aktivitäten von der Türkei bis nach Deutschland.

Das größte Problem der UN-Organisation bleibt jedoch die chronische Unterfinanzierung. Da nur zwei Prozent des Budgets aus UN-Verwaltungsmitteln stammen, ist das UNHCR auf freiwillige Spenden angewiesen. Österreich steuerte 2015 rund 3,7 Millionen Euro bei – ein Betrag, den selbst das Wiener UNHCR-Büro angesichts der Wirtschaftskraft des Landes als ausbaufähig ansieht. Global kam im Jahr 2015 nicht einmal die Hälfte der veranschlagten 6,3 Milliarden Euro zusammen. Regelmäßig müssen Hilfsprojekte gestrichen werden; für weitergehende Unterstützung wie Traumatherapien fehlt schlicht das Geld. 

Hinzu kommt die Sorge, dass andere weltweite Krisenherde wie der Kongo oder der Südsudan in Vergessenheit geraten, während Geberländer primär auf die Probleme in Europa fixiert sind. Um Fluchtbewegungen langfristig einzudämmen, appelliert Experte Papademetriou an die internationale Gemeinschaft, tief in die Tasche zu greifen und den Menschen in den direkten Nachbarregionen der Krisenherde eine echte Zukunftsperspektive zu geben. Die Kritik am UNHCR hält er für ungerecht: Angesichts der Dimension der Krise könne derzeit schlicht niemand genug tun.",de,gemini
"Hier ist eine zeitgemäße, natürlich fließende Neuformulierung im typischen Tonfall einer Kultur- oder Kabarettkritik:

Mit seinem aktuellen Programm „Ich kann auch anderst“ wagt Christian Hölbling einen kreativen Neustart. In Wien präsentiert sich der Kabarettist als scharf beobachtender Chronist sozialer und geografischer Reibungspunkte – getreu dem Motto, dass Humor oft aus dem unpassenden Verhalten in einer bestimmten Situation entsteht. Dabei lässt Hölbling stark in seine eigene Biografie blicken: Als gebürtiger Steirer, den es nach Kärnten verschlagen hat, versteht er Stings „Englishman in New York“ eher als „Ölien“. Auf der Bühne des Café Niedermair scherzt er über die Gefahr des „Kärntnervirus“, dessen angebliche Symptome bis hin zum Sprachverfall reichen – etwa wenn der steirische Ursprung allmählich verblasst. 

Hölbling verwebt Tournee-Anekdoten mit absurden Begegnungen, wie etwa einem angeblichen Treffen mit dem damaligen Nestlé-Chef Peter Brabeck-Letmathe. Demnach soll Hölbling ihm geraten haben, Kaffee wie teure Bonbons von einem Hollywood-Star vermarkten zu lassen, um Kilopreise von 80 Euro zu rechtfertigen. Dank seiner starken Bühnenpräsenz nimmt man ihm diese augenzwinkernde „Forrest Gump“-Story sofort ab. Mit präziser Sprache und minimalen Gesten schlüpft er in verschiedene Rollen, darunter der cholerische Kapfenberger Bandleader Mike. Dessen Abscheu vor VIP-Zelten und Konflikte mit Hölblings modernem Lifestyle – von Smart Home bis Hugo Boss – sorgen für urkomische Zankereien. 

So gelingt Hölbling eine elegante Gesellschaftskritik, die den Erzählfluss nie ins Stocken gerät lässt. Auch die musikalischen Einlagen fügen sich nahtlos ein: Lässige Swing-Nummern erhalten durch den dialektalen Einschlag eine wunderbar schräge Komik. Nach 15 Jahren mit seiner Bühnenfigur Herfried wollte sich Hölbling neu erfinden – und das ist ihm mit diesem Programm mehr als gelungen.",de,gemini
"Hier ist eine überarbeitete Version im natürlichen, sachlichen Nachrichtenstil, die in Länge und Inhalt dem Original entspricht:

***

**Allianz startet Mobilfunkangebot mit integrierter Handyversicherung**

Die Allianz wagt den Schritt auf den Telekommunikationsmarkt und präsentierte am Montag ihr neues Angebot „Allianz SIM“. Der Clou dabei: Neben klassischen Tarifen ohne Mobiltelefon ist stets eine umfassende Geräteversicherung im Paket inkludiert. Unterstützt wird das Projekt vom bekannten Telekom-Profi Michael Krammer.

Wie Allianz-Chef Wolfram Littich bei der Präsentation betonte, schließt der Versicherungsschutz auch bereits genutzte Geräte ein. Abgedeckt sind Schäden durch Displaybrüche, Flüssigkeiten, Bedienfehler sowie Vandalismus und Beschädigungen durch Dritte. Bei Teilschäden übernimmt die hauseigene Schwesterfirma in den ersten zwei Jahren nach Abzug eines Selbstbehalts von 60 Euro die vollen Reparaturkosten, im dritten Jahr liegt die Abdeckung bei 80 Prozent. Bei einem Totalschaden zahlt die Versicherung in den ersten zwei Jahren die Hälfte des Werts, danach 40 Prozent. Zum Service gehört zudem ein Abhol- und Lieferservice, die Reparaturdauer soll maximal sieben Werktage betragen. 

Die Versicherung lässt sich zudem unabhängig von einem Tarif für monatlich vier bis sechs Euro buchen. Während Konkurrenten den Schutz meist nur für maximal sechs Monate alte Geräte anbieten, versichert die Allianz Smartphones und Tablets, die bis zu 34 Monate alt sind. Der Abschluss erfolgt direkt über die Website allianz-sim.at. Mit dem Einstieg in den Mobilfunkmarkt verfolgt das Unternehmen das Ziel, die Markenbekanntheit zu steigern und neue Kundenschichten zu erschließen. Da rund 30 Prozent aller Nutzer bereits einmal ihr Handy beschädigt haben, hier aber eine große Versicherungslücke bestehe, sehe man enormes Potenzial, so Littich.

Zum Start stehen zwei Tarife zur Auswahl: Um 14,90 Euro monatlich erhalten Kunden 2.000 Gesprächsminuten, 2.000 SMS sowie 3 GB Datenvolumen mit bis zu 21 Mbit/s. Alternativ wird ein reiner Datentarif mit 3 GB für 9 Euro angeboten. Versteckte Kosten gibt es laut Unternehmen nicht. Sobald 80 Prozent des Inklusivvolumens aufgebraucht sind, werden Kunden per SMS informiert und können für 4,90 Euro unkompliziert Daten- oder Gesprächspakete nachladen. Wird dies nicht genutzt, schlagen weitere Einheiten mit je 4 Cent und zusätzliches Datenvolumen mit 1 Cent pro Megabyte zu Buche.

Genutzt wird das Netz von T-Mobile, der Vertrieb läuft rein digital. Die Verträge sind monatlich kündbar. Technisch und organisatorisch setzt die Allianz auf die Expertise von Michael Krammer und dessen Firma Ventocom. Für die Abrechnung und Technik wurde die Tochterfirma ATK gegründet, während sich die Allianz um Marketing und Vertrieb kümmert; man tritt somit als virtueller Netzbetreiber auf. Datenschutz sei garantiert: Bewegungsdaten würden keinesfalls an den Versicherungsriesen übermittelt.

Die Chancen am umkämpften Markt schätzt man gut ein. Krammer verwies darauf, dass in Österreich jährlich rund 2,5 Millionen Handynutzer den Anbieter wechseln. Krammers Unternehmen Ventocom hat erst im Jänner mit „Hofer Telekom“ (Hot) einen erfolgreichen Diskonter mit mittlerweile über 200.000 Kunden etabliert. Allianz-Kunden nutzen künftig dieselbe Vorwahl (0677). 

Zwischen Krammer und der Allianz gibt es noch eine weitere Verbindung: Krammer ist Präsident des SK Rapid Wien, dessen neues Stadion ab dem kommenden Jahr den Namen des Hauptsponsors Allianz tragen wird. Ob es für die Fans des Rekordmeisters einen eigenen Club-Tarif geben wird, ließ Krammer offen – eine Entscheidung darüber falle erst im Jahr 2016.",de,gemini
